from;to;polyline;weight
Bangkok;Surat Thani;LINESTRING(100.557322973 13.7175975701, 99.099159387 9.13381321812);1260.0
Bangkok;Sakon Nakhon;LINESTRING(100.557322973 13.7175975701, 103.822703129 17.5131235152);205.0
Bangkok;Suphan Buri;LINESTRING(100.557322973 13.7175975701, 99.8038953973 14.648468015);1998.0
Bangkok;Samut Prakan;LINESTRING(100.557322973 13.7175975701, 100.622262423 13.5941395905);59191.0
Bangkok;Saraburi;LINESTRING(100.557322973 13.7175975701, 101.026016661 14.6689938567);2523.0
Bangkok;Surin;LINESTRING(100.557322973 13.7175975701, 103.655766949 14.9277736873);262.0
Bangkok;Sisaket;LINESTRING(100.557322973 13.7175975701, 104.40982653 14.9516411754);331.0
Bangkok;Sukhothai;LINESTRING(100.557322973 13.7175975701, 99.7963503647 17.3641392291);243.0
Bangkok;Satun;LINESTRING(100.557322973 13.7175975701, 99.5703559981 6.7318170405);163.0
Bangkok;Tak;LINESTRING(100.557322973 13.7175975701, 98.6551659992 16.6465147647);321.0
Bangkok;Trang;LINESTRING(100.557322973 13.7175975701, 99.3599859433 7.48356217488);229.0
Bangkok;Trat;LINESTRING(100.557322973 13.7175975701, 102.503195011 12.1382302437);793.0
Bangkok;Ubon Ratchathani;LINESTRING(100.557322973 13.7175975701, 104.950118622 15.2036640615);1482.0
Bangkok;Udon Thani;LINESTRING(100.557322973 13.7175975701, 102.840541098 17.512721051);1062.0
Bangkok;Uttaradit;LINESTRING(100.557322973 13.7175975701, 100.431418199 17.7260698659);228.0
Bangkok;Uthai Thani;LINESTRING(100.557322973 13.7175975701, 99.5807809841 15.3329804403);257.0
Bangkok;Yala;LINESTRING(100.557322973 13.7175975701, 101.188657942 6.16406279095);66.0
Bangkok;Yasothon;LINESTRING(100.557322973 13.7175975701, 104.371511185 15.8497001429);82.0
Bueng Kan;Bueng Kan;LINESTRING(103.722237352 18.0575482114, 103.722237352 18.0575482114);0.0
Buriram;Bueng Kan;LINESTRING(102.967514344 15.1005920882, 103.722237352 18.0575482114);0.0
Bueng Kan;Chonburi;LINESTRING(103.722237352 18.0575482114, 101.121827441 13.0460828469);8.0
Bueng Kan;Chachoengsao;LINESTRING(103.722237352 18.0575482114, 101.41696414 13.5412867511);1.0
Chiang Mai;Bueng Kan;LINESTRING(98.7736976232 18.9084414401, 103.722237352 18.0575482114);0.0
Chai Nat;Bueng Kan;LINESTRING(99.9966639648 15.1889341114, 103.722237352 18.0575482114);0.0
Bueng Kan;Chaiyaphum;LINESTRING(103.722237352 18.0575482114, 101.950256984 16.1453092103);1.0
Chumphon;Bueng Kan;LINESTRING(98.9038728634 10.2984795764, 103.722237352 18.0575482114);0.0
Chiang Rai;Bueng Kan;LINESTRING(99.8463306614 19.7614170952, 103.722237352 18.0575482114);0.0
Chanthaburi;Bueng Kan;LINESTRING(102.128935757 12.7850531428, 103.722237352 18.0575482114);0.0
Bueng Kan;Krabi;LINESTRING(103.722237352 18.0575482114, 98.8832146297 7.9091448048);1.0
Bueng Kan;Khon Kaen;LINESTRING(103.722237352 18.0575482114, 102.47117486 16.4033200124);26.0
Kamphaeng Phet;Bueng Kan;LINESTRING(99.4840870778 16.3504084467, 103.722237352 18.0575482114);0.0
Bueng Kan;Kanchanaburi;LINESTRING(103.722237352 18.0575482114, 99.0508269362 14.6142660015);1.0
Bueng Kan;Kalasin;LINESTRING(103.722237352 18.0575482114, 103.623492533 16.5959516038);4.0
Bueng Kan;Loei Province;LINESTRING(103.722237352 18.0575482114, 101.552343004 17.4924428641);6.0
Lampang;Bueng Kan;LINESTRING(99.5103521938 18.2741029435, 103.722237352 18.0575482114);0.0
Lamphun;Bueng Kan;LINESTRING(98.9674006597 18.0768881064, 103.722237352 18.0575482114);0.0
Lopburi Province;Bueng Kan;LINESTRING(100.897002401 15.11760038, 103.722237352 18.0575482114);0.0
Mukdahan;Bueng Kan;LINESTRING(104.435295454 16.5902346448, 103.722237352 18.0575482114);0.0
Bueng Kan;Maha Sarakham;LINESTRING(103.722237352 18.0575482114, 103.187269825 16.0737469859);6.0
Mae Hong Son;Bueng Kan;LINESTRING(97.9474324868 18.7273332925, 103.722237352 18.0575482114);0.0
Nan;Bueng Kan;LINESTRING(100.817084443 18.8280594829, 103.722237352 18.0575482114);0.0
Bueng Kan;Nonthaburi;LINESTRING(103.722237352 18.0575482114, 100.356517706 13.9498544093);7.0
Nong Bua Lam Phu;Bueng Kan;LINESTRING(102.244010092 17.1948308266, 103.722237352 18.0575482114);0.0
Bueng Kan;Nong Khai;LINESTRING(103.722237352 18.0575482114, 102.77240708 17.9729280256);108.0
Bueng Kan;Nakhon Ratchasima;LINESTRING(103.722237352 18.0575482114, 102.162650043 15.0280360626);5.0
