from;to;polyline;weight
Phra Nakhon Si Ayutthaya;Buriram;LINESTRING(100.514170724 14.4207801749, 102.967514344 15.1005920882);0.0187946372635
Phra Nakhon Si Ayutthaya;Chonburi;LINESTRING(100.514170724 14.4207801749, 101.121827441 13.0460828469);0.0789946140036
Phra Nakhon Si Ayutthaya;Chachoengsao;LINESTRING(100.514170724 14.4207801749, 101.41696414 13.5412867511);0.0602994321115
Phra Nakhon Si Ayutthaya;Chiang Mai;LINESTRING(100.514170724 14.4207801749, 98.7736976232 18.9084414401);0.0381076106961
Phra Nakhon Si Ayutthaya;Chai Nat;LINESTRING(100.514170724 14.4207801749, 99.9966639648 15.1889341114);0.0256880733945
Phra Nakhon Si Ayutthaya;Chaiyaphum;LINESTRING(100.514170724 14.4207801749, 101.950256984 16.1453092103);0.00980258679374
Phra Nakhon Si Ayutthaya;Chumphon;LINESTRING(100.514170724 14.4207801749, 98.9038728634 10.2984795764);0.00891341256367
Phra Nakhon Si Ayutthaya;Chiang Rai;LINESTRING(100.514170724 14.4207801749, 99.8463306614 19.7614170952);0.0256968641115
Phra Nakhon Si Ayutthaya;Chanthaburi;LINESTRING(100.514170724 14.4207801749, 102.128935757 12.7850531428);0.0375
Phra Nakhon Si Ayutthaya;Krabi;LINESTRING(100.514170724 14.4207801749, 98.8832146297 7.9091448048);0.0125275606334
Phra Nakhon Si Ayutthaya;Khon Kaen;LINESTRING(100.514170724 14.4207801749, 102.47117486 16.4033200124);0.0269879107781
Phra Nakhon Si Ayutthaya;Kamphaeng Phet;LINESTRING(100.514170724 14.4207801749, 99.4840870778 16.3504084467);0.0228904239469
Phra Nakhon Si Ayutthaya;Kanchanaburi;LINESTRING(100.514170724 14.4207801749, 99.0508269362 14.6142660015);0.0439404677534
Phra Nakhon Si Ayutthaya;Kalasin;LINESTRING(100.514170724 14.4207801749, 103.623492533 16.5959516038);0.00845492976953
Phra Nakhon Si Ayutthaya;Loei Province;LINESTRING(100.514170724 14.4207801749, 101.552343004 17.4924428641);0.0109705730511
Phra Nakhon Si Ayutthaya;Lampang;LINESTRING(100.514170724 14.4207801749, 99.5103521938 18.2741029435);0.0295390608093
Phra Nakhon Si Ayutthaya;Lamphun;LINESTRING(100.514170724 14.4207801749, 98.9674006597 18.0768881064);0.0173935285842
Phra Nakhon Si Ayutthaya;Lopburi Province;LINESTRING(100.514170724 14.4207801749, 100.897002401 15.11760038);0.0533780299123
Phra Nakhon Si Ayutthaya;Mukdahan;LINESTRING(100.514170724 14.4207801749, 104.435295454 16.5902346448);0.00314825414997
Phra Nakhon Si Ayutthaya;Maha Sarakham;LINESTRING(100.514170724 14.4207801749, 103.187269825 16.0737469859);0.0151679306609
Phra Nakhon Si Ayutthaya;Mae Hong Son;LINESTRING(100.514170724 14.4207801749, 97.9474324868 18.7273332925);0.00501253132832
Phra Nakhon Si Ayutthaya;Nan;LINESTRING(100.514170724 14.4207801749, 100.817084443 18.8280594829);0.00736899563319
Phra Nakhon Si Ayutthaya;Nonthaburi;LINESTRING(100.514170724 14.4207801749, 100.356517706 13.9498544093);0.0979583626672
Phra Nakhon Si Ayutthaya;Nong Bua Lam Phu;LINESTRING(100.514170724 14.4207801749, 102.244010092 17.1948308266);0.00174927113703
Phra Nakhon Si Ayutthaya;Nong Khai;LINESTRING(100.514170724 14.4207801749, 102.77240708 17.9729280256);0.00878645103782
Phra Nakhon Si Ayutthaya;Nakhon Ratchasima;LINESTRING(100.514170724 14.4207801749, 102.162650043 15.0280360626);0.0789595197784
