uid;polyline;isLeafNode;value
1721;LINESTRING(103.985065544 15.359485934, 103.927049185 15.359485934, 103.927049185 15.3014695751, 103.985065544 15.3014695751, 103.985065544 15.359485934);True;{1.0: 'Surin'}
1722;LINESTRING(103.985065544 15.3014695751, 103.927049185 15.3014695751, 103.927049185 15.2434532163, 103.985065544 15.2434532163, 103.985065544 15.3014695751);True;{1.0: 'Surin'}
1723;LINESTRING(104.043081903 15.3014695751, 103.985065544 15.3014695751, 103.985065544 15.2434532163, 104.043081903 15.2434532163, 104.043081903 15.3014695751);True;{0.7692307692307693: 'Sisaket'}
1724;LINESTRING(103.927049185 15.359485934, 103.811016467 15.359485934, 103.811016467 15.2434532163, 103.927049185 15.2434532163, 103.927049185 15.359485934);True;{1.0: 'Surin'}
1725;LINESTRING(103.927049185 15.2434532163, 103.811016467 15.2434532163, 103.811016467 15.1274204985, 103.927049185 15.1274204985, 103.927049185 15.2434532163);True;{1.0: 'Surin'}
1727;LINESTRING(104.043081903 15.2434532163, 103.985065544 15.2434532163, 103.985065544 15.1854368574, 104.043081903 15.1854368574, 104.043081903 15.2434532163);True;{0.9230769230769231: 'Sisaket'}
1728;LINESTRING(103.985065544 15.2434532163, 103.927049185 15.2434532163, 103.927049185 15.1854368574, 103.985065544 15.1854368574, 103.985065544 15.2434532163);True;{0.8461538461538461: 'Surin', 0.15384615384615385: 'Sisaket'}
1729;LINESTRING(103.985065544 15.1854368574, 103.927049185 15.1854368574, 103.927049185 15.1274204985, 103.985065544 15.1274204985, 103.985065544 15.1854368574);True;{0.7692307692307693: 'Surin', 0.23076923076923078: 'Sisaket'}
1730;LINESTRING(104.043081903 15.1854368574, 103.985065544 15.1854368574, 103.985065544 15.1274204985, 104.043081903 15.1274204985, 104.043081903 15.1854368574);True;{0.8461538461538461: 'Sisaket'}
1733;LINESTRING(104.043081903 15.1274204985, 103.985065544 15.1274204985, 103.985065544 15.0694041396, 104.043081903 15.0694041396, 104.043081903 15.1274204985);True;{0.6923076923076923: 'Sisaket'}
1734;LINESTRING(103.985065544 15.1274204985, 103.927049185 15.1274204985, 103.927049185 15.0694041396, 103.985065544 15.0694041396, 103.985065544 15.1274204985);True;{1.0: 'Surin'}
1735;LINESTRING(103.985065544 15.0694041396, 103.927049185 15.0694041396, 103.927049185 15.0113877807, 103.985065544 15.0113877807, 103.985065544 15.0694041396);True;{1.0: 'Surin'}
