,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Lopburi Province,3,85,414,1086,3,31,413,136,159,49,40,12,56,105,20,83,36,108,20,30,67,28,0,7,32,11,14,430,4,11,228,9,186,13,104,5,111,134,39,144,22,2,77,8,122,33,43,491,1,17,57,20,3,123,143,22,63,71,30,28,9,87,372,337,17,12,25,5,30,12,35,25,33,32,33,4,9
Mukdahan,19,3,22,152,4,22,50,21,26,3,9,1,5,12,5,95,3,21,46,18,5,5,7,0,72,2,2,47,4,19,68,97,19,2,7,0,9,23,1,28,3,0,11,1,7,5,7,50,0,1,14,49,1,16,3,3,9,10,6,3,42,12,54,24,11,20,2,1,3,2,6,84,30,5,2,1,33
Maha Sarakham,19,18,140,736,15,148,263,68,100,9,60,5,39,60,13,1122,10,43,309,112,35,23,32,72,0,8,14,176,21,109,427,81,67,8,20,1,43,100,9,111,15,3,54,5,83,23,46,225,0,16,30,471,1,116,19,10,45,45,21,12,75,31,200,106,48,62,18,4,10,2,17,162,254,25,8,2,81
Mae Hong Son,0,4,36,311,0,4,70,16,367,8,8,7,89,21,50,18,8,33,3,5,41,37,11,2,8,0,14,54,2,5,25,4,36,4,14,2,10,37,5,42,28,1,30,13,26,22,5,62,1,14,21,5,1,28,9,11,14,20,4,31,5,20,65,15,2,5,21,6,24,3,12,6,13,12,4,4,3
Nan,0,7,54,425,2,19,113,36,225,18,7,2,94,28,11,34,19,35,6,22,87,36,14,2,14,14,0,122,2,9,57,2,59,7,47,1,19,47,13,52,18,2,85,8,35,153,9,120,1,57,23,7,5,36,16,15,31,28,5,20,6,28,119,28,7,3,21,5,25,13,9,13,19,55,9,3,3
Nonthaburi,21,275,1948,13021,28,239,3303,1145,1272,187,109,120,548,697,131,596,148,981,72,181,380,166,430,47,176,54,122,0,23,134,1487,79,2600,131,431,19,716,1730,145,1826,254,25,410,104,324,176,249,4717,35,145,852,136,31,966,351,237,770,991,138,244,74,723,4194,871,110,92,113,57,146,76,232,284,296,129,104,27,50
Nong Bua Lam Phu,1,0,12,86,2,4,33,9,17,2,11,3,6,7,2,84,2,12,8,44,8,4,4,4,21,2,2,23,0,39,25,11,8,1,6,0,3,13,3,13,4,0,12,3,15,6,6,25,0,3,3,13,1,9,6,1,7,7,4,3,11,3,17,8,2,4,4,1,1,1,1,5,115,6,2,1,5
Nong Khai,6,8,69,450,60,23,163,39,89,8,30,6,44,26,7,379,8,41,30,97,23,17,11,19,109,5,9,134,39,0,186,40,88,9,18,2,31,58,5,55,23,1,26,13,36,12,24,169,2,9,28,36,2,57,11,13,25,31,7,8,54,23,147,49,12,15,11,3,6,1,11,33,707,8,5,6,14
Nakhon Ratchasima,30,95,1026,4260,27,478,1458,464,497,68,255,53,181,354,71,1025,80,350,146,162,159,86,228,68,427,25,57,1487,25,186,0,89,679,46,168,8,443,562,43,658,109,12,171,40,186,72,301,1608,3,41,304,251,13,444,130,101,246,290,79,105,94,237,1390,886,194,147,59,25,69,21,114,321,357,53,56,13,71
Nakhon Phanom,14,7,46,278,22,19,94,31,45,5,14,9,15,25,10,130,6,15,55,25,13,7,9,97,81,4,2,79,11,40,89,0,40,8,11,0,22,37,4,32,7,0,14,3,15,6,12,89,1,4,18,41,3,27,6,5,18,19,10,8,153,17,85,29,15,22,6,1,6,2,10,66,91,5,5,2,21
Nakhon Pathom,8,146,903,6377,15,113,1713,584,603,98,47,79,240,372,87,282,83,1014,30,87,178,87,186,19,67,36,59,2600,8,88,679,40,0,65,237,9,366,1280,52,1201,113,19,213,43,167,101,114,1960,14,76,1215,56,20,471,162,121,645,809,54,109,42,486,2002,396,55,55,58,31,95,32,102,114,133,77,62,19,29
Nakhon Si Thammarat,0,12,45,435,0,8,91,33,65,4,10,50,35,24,68,44,9,34,4,16,22,11,13,2,8,4,7,131,1,9,46,8,65,0,21,12,19,69,5,107,62,61,24,32,25,9,10,113,22,8,28,6,8,24,7,166,38,30,7,151,5,25,123,26,4,3,6,17,9,56,12,12,19,11,3,11,5
Nakhon Sawan,2,96,430,1292,3,34,449,172,472,208,24,20,207,94,29,87,235,109,13,39,269,121,104,7,20,14,47,431,6,18,168,11,237,21,0,2,79,207,191,205,35,2,334,16,122,142,35,550,3,114,79,23,9,163,251,28,74,101,30,39,17,161,407,114,18,8,78,6,148,11,19,29,37,108,135,5,9
Narathiwat,0,2,9,92,0,2,14,4,16,1,2,3,7,2,22,7,2,3,1,1,2,1,5,0,1,2,1,19,0,2,8,0,9,12,2,0,3,11,3,10,7,11,2,5,5,0,2,10,45,3,5,0,0,5,0,95,0,5,0,12,0,1,17,3,0,0,2,9,2,8,3,1,1,0,0,39,0
Nakhon Nayok,2,56,378,1997,5,55,610,266,186,35,30,28,69,135,15,138,33,175,23,33,49,24,111,9,43,10,19,716,3,31,443,22,366,19,79,3,0,245,21,279,48,8,56,14,54,26,198,1018,4,24,146,34,5,199,61,40,125,150,48,38,14,98,687,258,26,19,14,3,27,13,36,51,52,15,12,3,11
Phetchaburi,8,96,669,4628,4,88,1161,416,554,82,40,105,225,252,84,225,77,463,39,69,164,80,134,23,100,37,47,1730,13,58,562,37,1280,69,207,11,245,0,46,2697,110,18,190,52,115,92,105,1403,17,77,835,62,21,336,136,107,778,843,53,145,35,314,1535,307,46,36,46,33,77,33,78,122,104,66,53,9,22
Phichit,2,29,109,349,0,11,114,60,115,47,10,10,65,33,8,27,37,25,4,11,56,29,39,1,9,5,13,145,3,5,43,4,52,5,191,3,21,46,0,52,4,1,241,3,73,66,7,154,3,50,13,6,0,41,76,8,11,33,10,12,8,29,114,26,5,3,37,3,23,2,4,9,15,64,31,3,2
Prachuap Khiri Khan,9,101,746,4878,6,102,1212,409,614,76,46,165,269,250,100,262,75,462,50,96,180,84,144,28,111,42,52,1826,13,55,658,32,1201,107,205,10,279,2697,52,0,174,35,194,75,155,98,101,1453,18,82,703,71,22,389,132,152,643,753,60,179,44,299,1646,314,45,42,45,32,82,42,85,134,121,74,42,16,29
Phuket,1,10,150,1387,0,22,272,42,315,10,6,44,105,52,824,59,14,73,8,25,45,21,22,3,15,28,18,254,4,23,109,7,113,62,35,7,48,110,4,174,0,30,36,602,104,11,18,200,10,10,90,9,17,64,16,149,54,50,18,243,9,38,481,40,11,8,17,29,17,53,27,22,57,14,9,6,2
Phatthalung,0,1,10,127,0,2,37,7,15,1,4,19,8,5,62,9,4,9,1,5,4,2,2,0,3,1,2,25,0,1,12,0,19,61,2,11,8,18,1,35,30,0,9,14,12,2,2,25,15,0,13,2,4,8,2,175,13,8,0,37,1,1,34,6,1,0,1,11,2,70,2,4,4,0,0,11,0
Phitsanulok,1,54,313,1179,1,50,394,131,489,92,32,17,260,91,28,146,161,103,19,110,243,104,77,11,54,30,85,410,12,26,171,14,213,24,334,2,56,190,241,194,36,9,0,15,288,249,24,409,3,145,89,25,8,125,136,39,71,81,21,35,13,103,365,95,19,15,247,5,127,10,31,43,66,251,51,6,15
Phang Nga,1,4,55,430,0,5,92,18,89,5,7,30,37,25,279,35,9,24,7,18,17,9,8,1,5,13,8,104,3,13,40,3,43,32,16,5,14,52,3,75,602,14,15,0,41,6,9,62,7,9,37,6,14,24,9,59,28,30,4,102,5,15,150,21,5,3,9,18,10,30,9,7,19,6,8,4,2
Phetchabun,5,34,229,1058,5,41,366,111,260,35,52,26,101,73,78,192,41,100,27,156,96,50,122,7,83,26,35,324,15,36,186,15,167,25,122,5,54,115,73,155,104,12,288,41,0,56,35,295,6,46,86,51,7,101,56,49,62,69,20,77,18,75,317,137,21,17,60,13,37,19,36,53,73,62,26,7,14
Phrae,3,30,149,549,0,20,190,63,474,35,13,9,239,36,15,61,35,42,14,24,281,106,33,5,23,22,153,176,6,12,72,6,101,9,142,0,26,92,66,98,11,2,249,6,56,0,8,209,0,156,35,12,5,55,61,6,31,44,6,21,10,48,161,40,9,9,51,3,49,7,14,15,29,189,8,1,8
Prachinburi,2,19,138,755,3,59,417,223,86,17,20,8,39,120,4,108,16,69,15,26,28,13,43,7,46,5,9,249,6,24,301,12,114,10,35,2,198,105,7,101,18,2,24,9,35,8,0,305,1,10,60,26,2,144,30,16,58,45,86,13,11,37,272,103,26,20,4,5,14,3,25,45,49,8,16,6,6
Pathum Thani,15,361,2530,11732,24,245,3303,1113,1115,213,148,100,486,636,126,626,177,848,85,157,409,172,491,50,225,62,120,4717,25,169,1608,89,1960,113,550,10,1018,1403,154,1453,200,25,409,62,295,209,305,0,26,148,671,143,27,989,417,201,660,789,132,191,74,559,3624,975,134,112,114,36,173,66,196,299,294,149,117,26,42
Pattani,0,0,7,103,0,3,15,4,19,0,2,9,5,3,17,6,3,5,0,1,1,1,1,0,0,1,1,35,0,2,3,1,14,22,3,45,4,17,3,18,10,15,3,7,6,0,1,26,0,1,4,0,0,6,1,137,4,8,0,12,2,4,33,2,1,0,2,9,2,17,1,3,4,0,0,56,1
Phayao,1,30,103,443,1,13,155,57,454,34,10,9,631,23,9,37,44,28,6,14,235,76,17,1,16,14,57,145,3,9,41,4,76,8,114,3,24,77,50,82,10,0,145,9,46,156,10,148,1,0,31,13,2,51,48,16,26,32,9,12,7,43,115,29,7,3,44,4,46,8,11,17,19,84,12,2,2
