,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Chumphon,0,0,16,122,0,0,9,0,7,0,0,0,3,2,4,1,0,1,0,0,0,0,0,0,1,0,0,6,1,0,3,0,8,7,1,0,0,13,1,71,5,0,2,6,1,0,1,10,3,1,2,0,20,0,0,9,5,0,0,67,0,1,3,0,0,0,0,1,1,17,2,1,1,0,0,1,0
Chiang Rai,0,4,15,838,0,2,51,7,1567,2,2,2,0,4,11,20,4,8,1,6,138,25,5,1,6,16,35,49,1,6,12,0,22,3,20,0,4,15,6,18,12,1,56,5,18,87,0,65,1,515,11,1,1,13,2,8,2,7,2,10,2,8,121,4,9,0,11,1,5,3,4,5,13,18,0,1,0
Chanthaburi,0,1,35,955,0,18,330,70,26,3,3,0,6,0,0,15,4,10,0,2,2,2,8,0,14,0,0,60,0,1,54,1,38,1,4,0,12,23,0,10,1,0,6,1,8,2,23,89,0,1,21,5,0,487,2,1,5,6,52,2,2,9,98,14,5,4,1,0,5,1,173,12,6,1,1,0,1
Krabi,0,2,19,420,1,1,19,3,90,0,0,7,14,4,0,4,1,7,0,0,2,1,1,0,1,3,1,10,0,1,4,0,13,22,2,6,0,3,0,11,556,19,3,147,20,1,0,8,5,0,6,0,3,2,1,165,2,0,0,140,1,2,28,1,0,1,0,25,1,86,1,5,0,0,0,2,0
Khon Kaen,5,2,25,863,6,76,89,12,70,0,152,0,20,13,3,0,2,16,260,146,10,5,14,28,1435,1,2,70,46,155,557,32,42,1,8,0,23,7,1,24,3,1,28,3,71,3,12,111,1,6,6,231,0,29,5,2,5,7,1,8,85,9,86,27,23,39,5,0,2,1,9,150,611,6,1,1,19
Kamphaeng Phet,0,1,20,152,0,2,11,2,95,9,1,0,11,2,0,2,0,2,0,2,68,7,1,0,2,1,3,13,0,0,4,0,12,0,123,0,0,4,9,4,1,0,97,0,6,4,1,33,1,6,1,0,0,7,17,0,0,1,1,0,0,5,9,6,0,0,36,0,91,0,0,0,0,4,6,0,0
Kanchanaburi,1,4,59,1791,0,4,128,16,39,4,3,0,12,12,6,17,4,0,1,8,3,0,17,4,11,1,3,146,0,3,48,0,448,1,10,0,14,103,2,56,7,0,16,0,5,2,3,161,0,2,325,8,2,10,1,4,31,24,0,14,2,115,108,10,4,0,5,0,3,0,4,2,7,2,3,0,1
Kalasin,1,0,6,62,2,4,9,1,4,0,3,0,0,3,0,296,0,0,0,5,0,0,2,12,601,0,2,2,0,3,28,11,0,0,0,0,3,1,0,1,0,0,3,0,4,1,0,5,0,0,1,93,0,4,0,0,1,1,0,1,28,0,4,1,2,2,0,0,0,0,0,11,32,1,0,0,6
Loei Province,2,0,6,231,1,1,25,1,14,1,13,0,6,4,1,178,0,4,4,0,4,2,4,2,40,0,4,17,22,48,30,1,8,0,5,0,7,3,2,3,5,2,52,1,86,3,5,17,0,5,1,16,0,5,1,6,2,0,0,2,17,3,10,5,6,2,2,0,1,0,4,3,89,3,1,0,2
Lampang,0,3,14,388,0,6,39,3,1332,4,2,0,167,6,1,7,53,6,0,5,0,208,7,0,5,5,16,32,1,4,9,0,10,0,51,0,0,11,2,10,0,1,37,1,10,163,5,57,0,135,5,0,0,8,9,3,1,2,0,2,1,7,42,5,0,2,38,0,102,0,0,4,1,27,0,1,0
