,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Ranong,1,3,14,109,0,4,15,8,17,1,1,21,5,6,12,5,3,9,1,5,7,0,6,1,1,1,5,29,1,2,13,3,18,7,9,0,5,21,0,16,11,3,8,11,5,5,2,27,0,2,8,2,0,4,1,13,8,15,3,22,2,6,29,5,1,1,6,3,4,3,3,5,4,2,1,2,3
Rayong,4,69,424,2617,0,85,1197,563,362,53,55,20,155,642,28,241,57,193,43,60,112,48,130,14,109,24,31,808,10,61,399,21,391,19,145,4,160,269,39,312,35,6,113,16,75,52,121,882,6,49,155,67,4,0,96,38,160,192,77,52,21,135,1051,204,41,35,23,11,44,24,137,100,96,43,20,7,17
Sing Buri,2,150,423,834,0,20,248,152,178,122,14,7,87,81,14,53,77,71,8,21,121,57,141,3,20,9,16,338,6,12,134,6,158,7,252,0,55,131,75,120,12,2,140,6,57,65,29,421,1,50,46,13,1,96,0,13,61,91,25,20,3,111,327,126,17,3,37,2,58,6,15,17,25,60,40,2,3
Songkhla,1,12,84,859,0,19,108,54,150,9,9,38,52,37,321,53,13,68,7,25,25,14,41,3,10,11,15,227,1,15,99,4,107,161,28,104,37,99,7,124,115,171,38,48,28,6,16,201,136,15,57,14,13,38,13,0,42,49,11,133,8,23,257,44,7,3,10,188,15,144,13,26,37,13,5,92,5
Samut Songkhram,2,45,336,2019,0,36,462,208,215,33,15,34,85,145,39,85,25,258,21,30,50,25,70,9,42,14,29,726,7,26,242,16,619,38,71,0,113,717,11,589,42,13,71,26,50,31,56,657,4,24,622,21,8,160,61,42,0,554,27,52,16,127,766,139,24,14,20,16,28,16,27,42,44,18,12,3,14
Samut Sakhon,1,71,429,2474,0,53,566,264,235,55,22,37,105,162,37,115,38,262,22,32,81,42,91,10,45,20,27,965,7,38,298,19,769,31,104,5,144,800,34,697,31,8,82,24,55,44,45,802,8,31,415,40,15,192,91,49,554,0,39,60,17,161,990,222,31,13,20,16,35,13,39,57,60,33,20,8,10
Sa Kaeo,2,6,72,421,0,50,144,129,49,11,10,5,21,114,14,39,6,35,6,13,20,10,33,6,21,4,5,135,4,10,81,8,50,7,30,0,45,50,10,54,10,0,21,4,15,6,87,136,0,9,19,17,3,77,25,11,27,39,0,13,9,21,152,50,24,15,9,3,11,3,24,28,11,4,7,2,6
Surat Thani,0,16,139,1170,0,21,163,60,307,12,10,100,91,48,316,55,7,71,10,21,44,26,82,3,11,40,21,234,5,25,106,7,97,144,40,12,34,135,12,152,179,37,35,91,27,22,12,191,12,13,65,11,22,52,20,133,52,60,13,0,7,33,331,51,12,7,19,26,23,42,25,22,30,18,8,11,4
Sakon Nakhon,9,5,24,250,0,16,60,25,53,4,14,1,20,20,7,191,7,15,64,47,13,5,11,43,77,5,6,70,11,80,94,143,40,5,17,0,13,33,8,42,5,1,14,4,15,10,11,74,2,7,18,38,2,21,3,8,16,17,9,7,0,12,76,27,11,14,8,3,7,3,7,39,185,6,7,3,7
Suphan Buri,3,143,414,1535,0,35,366,183,230,104,21,13,113,122,23,86,54,272,14,33,104,50,100,12,29,20,28,696,3,32,240,14,467,24,159,1,88,281,28,275,23,1,102,8,62,48,36,560,4,43,176,23,6,135,111,23,127,161,21,33,12,0,485,135,19,4,23,5,54,13,29,32,41,36,43,4,10
Samut Prakan,23,227,1703,14287,0,216,3352,1501,1479,164,115,71,618,760,276,609,149,883,76,149,358,174,450,56,198,66,119,4073,20,199,1408,76,1854,125,417,20,637,1434,113,1521,354,34,368,117,240,160,270,3652,34,116,777,129,29,1051,327,257,766,990,152,331,76,485,0,789,117,115,125,73,154,69,238,312,324,129,58,25,53
Saraburi,7,89,791,2195,0,134,598,317,237,64,71,22,78,175,34,265,55,172,45,56,83,48,364,24,114,16,28,876,9,60,973,30,393,27,118,3,235,295,28,301,29,6,98,13,132,41,107,1049,2,31,170,67,5,204,126,44,139,222,50,51,27,135,789,0,62,47,30,9,52,8,37,87,90,25,21,5,22
Surin,7,6,83,380,0,198,105,52,41,10,27,2,19,45,6,95,6,45,16,20,13,8,21,11,56,2,7,111,2,13,207,10,52,4,18,0,24,43,5,43,8,1,20,4,18,9,26,134,1,7,32,44,1,41,17,7,24,31,24,12,11,19,117,62,0,122,8,4,10,1,15,159,20,4,4,3,22
Sisaket,16,4,53,380,0,92,95,33,36,4,23,0,14,37,2,130,3,21,20,16,10,7,16,20,62,5,3,91,5,18,148,20,52,3,8,0,16,31,3,37,4,0,15,2,12,9,20,113,0,3,20,51,1,35,3,3,14,13,15,7,14,4,115,47,122,0,6,1,3,1,14,436,23,5,2,1,40
Sukhothai,1,13,91,365,0,17,95,38,211,16,13,3,90,22,22,41,57,37,4,15,106,52,33,2,18,21,21,103,4,15,59,4,56,6,78,2,14,41,37,39,10,1,248,4,48,52,4,112,2,44,22,7,6,23,37,10,20,20,9,19,8,23,125,30,8,6,0,6,52,0,7,12,25,78,9,3,3
Satun,0,5,28,201,0,4,41,19,46,2,4,7,18,10,61,10,2,16,4,6,9,7,12,1,3,6,5,53,1,7,25,1,28,17,6,11,4,31,3,22,22,10,5,11,6,3,5,35,8,3,19,4,3,11,2,188,16,16,3,26,3,5,73,9,4,1,6,0,4,23,10,8,4,2,3,13,1
Tak,0,25,123,455,0,8,137,59,344,49,9,2,82,37,11,39,156,46,5,13,233,105,33,4,10,24,25,137,1,11,65,5,92,9,148,2,27,70,23,74,12,2,128,9,33,48,14,171,2,46,43,11,4,44,58,15,28,35,11,23,7,54,154,52,10,3,52,4,0,3,12,11,15,35,17,3,5
Trang,0,4,27,220,0,5,34,16,50,4,1,13,31,12,129,13,4,16,2,5,9,6,12,1,1,3,9,71,0,2,16,0,29,46,9,9,10,24,1,31,41,63,9,23,11,5,2,59,18,7,16,2,3,24,6,144,16,13,3,42,3,13,69,8,1,1,0,23,3,0,10,4,5,1,2,12,0
Trat,1,12,89,678,0,31,193,92,111,10,12,4,41,223,22,49,8,62,8,22,23,13,45,6,16,11,9,196,1,13,105,4,87,10,18,3,31,62,4,70,16,2,27,6,18,11,22,176,1,11,38,16,3,137,15,13,27,39,24,25,7,29,238,37,15,14,7,10,12,10,0,32,23,9,4,3,3
Ubon Ratchathani,88,11,122,1079,0,165,268,87,115,9,35,7,63,84,15,339,12,52,45,60,31,19,38,84,162,6,13,274,5,39,325,59,104,12,29,2,45,110,9,114,15,4,43,5,39,15,45,299,3,17,44,144,5,100,17,26,42,57,28,22,39,32,312,87,159,436,12,8,11,4,32,0,71,16,3,7,144
Udon Thani,7,12,127,1011,0,43,259,74,204,14,45,12,83,71,19,878,15,66,88,201,55,32,46,30,252,12,19,283,128,763,359,87,125,19,37,1,43,96,15,109,35,4,67,12,59,28,49,289,4,20,55,88,4,96,25,37,44,60,11,30,185,41,324,90,20,23,25,4,15,5,23,71,0,23,6,8,19
Uttaradit,2,29,108,387,0,12,116,46,250,31,11,6,151,30,13,63,35,23,8,26,149,70,32,5,25,12,55,124,6,10,54,5,73,11,109,0,15,53,64,67,8,0,253,5,57,189,8,146,0,84,22,14,2,43,60,13,18,33,4,18,6,36,129,25,4,5,78,2,35,1,9,16,23,0,8,3,6
Uthai Thani,0,24,83,237,0,6,61,25,39,56,5,1,15,22,6,13,29,27,4,4,15,14,27,2,8,4,8,77,1,7,44,4,48,3,114,0,8,41,21,26,5,0,30,3,18,5,10,96,0,10,18,7,1,20,40,5,12,20,7,8,7,43,58,21,4,2,9,3,17,2,4,3,6,8,0,1,2
Yala,0,2,11,81,0,2,17,7,25,3,3,3,6,4,11,13,5,8,1,4,4,3,5,1,2,4,3,25,1,6,13,2,19,11,5,38,3,8,3,14,4,11,6,1,6,1,6,26,56,2,9,2,2,7,2,92,3,8,2,11,3,4,25,5,3,1,3,13,3,12,3,7,8,3,1,0,1
Yasothon,19,4,26,160,0,38,40,22,22,2,12,1,7,14,3,92,3,15,26,18,9,6,10,33,81,3,3,48,5,16,72,21,29,5,9,0,9,20,2,28,0,0,15,2,11,8,6,42,1,2,8,82,3,17,3,5,14,10,6,4,7,10,53,22,22,40,3,1,5,0,3,144,19,6,2,1,0
