,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Ratchaburi,0,3,16,518,0,0,20,4,15,2,0,0,3,4,0,0,1,145,0,1,1,1,1,0,0,0,1,49,0,1,8,0,481,0,3,0,7,229,0,57,0,0,1,1,3,1,0,25,0,0,0,1,0,6,0,1,324,93,0,2,1,15,32,4,1,0,1,0,1,0,1,0,1,0,1,0,0
Roi Et,4,0,1,35,1,8,3,0,1,0,2,0,0,0,0,71,0,4,38,5,0,0,0,7,169,0,0,2,0,1,45,3,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,1,8,8,0,0,0,0,0,8,5,0,0,0,29
Ranong,0,0,2,9,0,0,2,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,6,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayong,0,1,10,290,0,1,560,167,7,6,0,0,5,287,0,6,3,1,0,1,7,0,1,0,0,0,0,22,0,0,22,0,9,0,5,1,8,4,1,2,1,0,1,0,5,0,19,30,0,0,4,1,0,0,1,0,1,4,6,0,0,1,61,3,2,4,0,0,1,0,22,0,4,3,0,0,0
Sing Buri,0,60,108,53,0,0,10,3,1,30,0,0,0,0,0,1,12,0,0,0,4,0,35,0,0,0,0,21,0,0,2,0,4,0,52,0,1,3,6,1,0,0,8,0,0,1,0,31,0,0,0,0,0,0,0,0,1,1,0,0,0,11,7,8,0,0,1,0,3,0,0,0,0,2,8,0,0
Songkhla,0,0,1,136,0,0,4,1,5,1,0,4,4,0,23,1,0,0,0,3,0,0,1,0,2,0,0,5,0,0,0,0,3,41,0,14,1,3,0,7,29,68,0,8,4,0,0,1,47,0,1,0,1,1,0,0,1,0,0,12,0,0,35,0,0,0,0,33,0,32,0,0,2,0,0,13,0
Samut Songkhram,0,1,2,216,0,0,13,3,1,1,0,1,1,0,0,1,0,10,0,1,0,0,1,0,2,0,0,44,0,0,3,0,51,1,1,0,2,187,0,67,1,0,1,0,1,0,1,24,0,0,231,0,0,0,0,2,0,221,0,0,1,1,42,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Samut Sakhon,0,4,12,941,0,0,20,6,1,0,0,0,1,3,0,2,1,10,1,0,2,0,2,0,0,0,0,70,0,0,8,0,225,0,1,0,2,78,0,19,0,0,1,1,0,0,1,42,0,0,47,1,1,6,2,1,97,0,0,0,1,6,99,4,1,0,0,0,0,0,1,0,0,0,2,0,0
Sa Kaeo,0,0,2,33,0,14,6,34,0,0,0,0,0,23,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,3,0,1,0,0,0,0,0,2,0,30,2,0,0,1,1,0,3,0,1,0,1,0,0,0,0,7,3,0,2,0,0,0,0,2,0,0,0,0,0,0
Surat Thani,0,0,2,132,0,1,6,2,16,0,0,49,0,0,32,1,0,4,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,60,0,0,1,5,0,18,31,4,0,18,4,0,2,3,0,0,3,0,2,4,0,13,0,3,0,0,0,1,40,0,0,0,0,2,0,1,1,1,0,0,0,0,0
