,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Chaiyaphum,0,0,13,186,0,10,23,3,16,0,0,0,4,3,0,193,1,5,3,14,2,2,15,1,27,0,0,11,1,8,239,3,6,0,7,0,1,5,1,2,0,0,8,1,22,0,2,22,0,2,1,3,0,6,1,0,2,1,2,1,2,1,9,16,6,3,1,0,0,0,0,9,13,0,0,0,0
Chumphon,0,1,14,200,1,0,10,1,16,0,0,0,5,2,11,2,0,1,0,1,0,0,0,0,1,0,0,12,0,0,3,1,13,24,2,0,3,18,2,100,11,7,1,10,3,0,1,11,3,1,4,1,26,3,0,18,7,7,0,77,1,0,12,2,0,0,0,1,0,19,1,3,1,1,0,0,0
Chiang Rai,1,2,27,1250,0,5,107,6,1984,4,1,5,0,12,19,24,12,13,1,9,195,37,5,0,3,29,40,56,1,10,21,3,17,6,32,2,9,18,15,26,15,1,72,7,15,94,4,70,1,707,13,5,0,20,6,9,7,1,2,7,1,13,178,4,7,1,22,2,5,1,10,10,15,28,2,1,0
Chanthaburi,1,1,44,1115,0,17,362,131,24,1,0,3,12,0,5,21,3,14,3,5,7,2,7,1,16,1,3,82,0,0,65,4,58,0,8,0,9,29,0,7,4,0,6,1,7,0,25,81,0,1,28,4,2,383,3,5,5,15,46,5,2,8,110,22,5,6,3,1,3,1,210,19,11,1,3,0,0
Krabi,0,0,33,634,0,2,34,5,185,0,1,6,23,2,0,10,1,6,1,1,3,4,5,0,7,15,1,17,0,2,9,2,19,38,5,9,3,11,1,9,831,30,2,177,24,4,0,30,6,1,12,1,4,5,1,194,6,2,1,221,1,1,55,2,0,0,1,33,3,131,3,1,4,0,0,3,0
Khon Kaen,5,1,45,1085,16,106,108,19,91,0,212,2,32,15,6,0,2,18,316,208,8,9,8,43,1643,2,4,73,60,254,654,55,53,6,10,0,30,17,3,26,8,0,32,4,96,4,14,113,1,8,9,297,0,55,3,2,6,4,3,11,92,10,117,35,32,64,2,0,7,2,9,228,735,5,1,2,25
Kamphaeng Phet,0,3,26,190,0,3,20,3,99,9,0,0,6,5,1,2,0,6,0,0,70,6,5,1,2,2,3,12,0,2,13,0,12,0,146,0,1,10,7,3,0,0,128,0,8,5,1,21,0,10,3,0,0,7,14,1,2,1,0,0,2,7,12,4,1,0,27,0,78,0,1,1,0,2,6,0,0
Kanchanaburi,0,3,65,1932,1,6,148,13,49,2,0,1,10,11,7,26,3,0,0,5,10,4,14,4,6,4,5,189,2,2,54,1,516,4,19,1,17,94,1,54,10,0,11,2,7,5,3,163,0,0,407,10,1,29,1,8,33,37,3,13,4,124,124,9,6,0,4,0,4,3,7,7,3,2,1,0,2
Kalasin,0,1,4,82,1,1,12,2,2,0,2,0,1,0,0,310,0,2,0,5,0,0,1,20,664,1,0,4,1,6,29,19,3,0,0,0,3,2,0,1,0,0,0,0,5,1,2,9,0,0,1,90,0,6,0,0,4,0,0,1,22,1,7,4,2,3,0,1,0,0,1,12,33,0,0,0,6
Loei Province,0,0,4,253,3,1,23,2,16,0,6,0,9,2,0,192,2,8,5,0,7,1,5,4,38,0,4,15,27,46,35,1,6,1,3,0,3,2,2,4,5,1,57,2,106,4,5,19,0,5,2,6,0,12,0,5,1,0,0,2,19,1,9,8,1,2,1,0,2,0,3,10,93,7,0,0,0
Lampang,0,4,17,528,0,4,52,3,1620,7,1,0,183,2,3,12,73,4,0,8,0,188,3,0,2,5,28,34,0,5,15,2,10,1,64,0,2,15,5,11,3,1,47,1,11,174,4,47,0,137,7,0,0,11,10,1,5,1,1,3,3,12,54,5,0,0,50,0,132,0,2,5,10,31,2,1,0
Lamphun,0,0,5,101,0,0,6,1,1676,0,0,0,37,2,1,6,7,1,0,2,243,0,1,0,2,5,3,5,0,0,2,0,5,0,6,0,0,2,0,2,2,0,13,0,1,15,0,2,0,8,2,0,0,4,0,0,1,0,0,2,1,0,2,0,0,0,1,1,16,0,2,2,3,7,1,0,0
Lopburi Province,0,17,176,645,0,0,52,1,22,19,12,0,8,10,1,14,2,17,2,4,9,0,0,1,6,1,2,68,2,1,51,0,31,1,32,0,17,10,4,6,1,0,12,0,37,1,4,129,0,2,4,2,0,10,72,2,4,5,2,4,0,14,33,234,1,2,2,0,4,1,1,3,2,3,3,0,0
Mukdahan,8,1,5,52,0,3,9,3,2,0,0,0,1,1,0,38,0,5,13,3,0,1,0,0,34,0,0,3,0,4,15,76,2,0,0,0,0,1,0,1,0,0,1,0,0,0,2,9,0,0,0,18,0,0,0,1,0,0,0,0,22,0,2,1,1,5,0,0,1,0,0,56,2,0,0,0,21
Maha Sarakham,3,1,30,331,4,107,61,7,25,0,21,1,8,15,3,1645,3,15,633,47,5,1,7,34,0,3,4,20,13,61,226,37,8,1,1,0,4,28,2,19,2,3,7,0,27,1,11,36,0,3,3,611,1,29,2,4,4,2,6,2,34,8,30,16,30,25,6,0,0,0,0,94,117,4,0,0,53
Mae Hong Son,0,0,2,107,0,0,9,0,361,1,1,0,19,2,3,1,1,1,0,0,5,4,1,1,1,0,2,2,0,0,1,2,5,0,0,0,0,4,0,0,1,0,2,0,1,1,0,8,0,2,0,1,0,4,0,1,0,0,0,4,0,0,3,0,0,1,3,1,2,0,1,0,0,4,0,2,0
Nan,0,0,5,253,0,2,12,3,102,2,1,0,44,1,1,4,3,5,2,4,21,1,1,0,1,1,0,7,0,0,7,0,7,0,10,0,4,1,4,4,2,1,22,0,5,100,2,15,0,31,3,0,1,6,3,3,3,2,0,1,2,4,14,0,0,0,4,0,3,0,0,2,2,21,0,0,0
Nonthaburi,2,53,468,25457,5,23,668,121,183,34,16,9,79,70,14,90,15,169,3,20,36,3,78,4,18,2,11,0,3,7,252,9,1103,20,61,2,119,247,21,181,36,2,39,15,39,17,34,3668,2,8,186,14,5,123,45,26,99,139,9,27,5,214,968,113,8,11,10,6,8,4,29,40,28,9,20,0,5
Nong Bua Lam Phu,0,0,1,21,0,0,2,1,0,0,2,1,1,0,0,53,0,0,1,25,1,0,0,0,15,0,1,3,0,18,4,2,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,3,0,2,0,3,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,132,0,0,0,1
Nong Khai,1,1,11,162,48,2,31,4,21,0,9,0,11,1,2,216,0,3,6,51,5,1,1,4,77,0,0,6,18,0,46,9,6,0,0,0,0,4,0,6,2,0,1,0,6,2,3,31,1,1,2,9,1,6,0,1,0,0,1,2,21,0,16,5,4,2,0,1,2,0,0,3,1234,0,0,0,3
Nakhon Ratchasima,8,8,356,2687,1,410,348,57,91,6,233,4,20,61,6,673,7,55,30,34,11,1,65,12,228,2,8,251,7,52,0,18,99,7,27,2,194,58,9,60,15,0,28,2,48,6,169,511,0,4,34,70,0,76,16,13,15,20,19,11,13,32,202,531,91,45,5,2,5,2,18,105,76,1,7,0,10
Nakhon Phanom,7,1,3,130,11,0,7,1,6,0,1,0,0,1,0,43,0,0,15,5,0,0,1,64,39,0,1,3,2,9,22,0,5,1,1,0,1,1,2,2,0,0,2,1,3,0,0,8,0,0,1,7,2,1,1,0,2,1,1,0,144,1,7,2,4,6,0,0,0,0,1,30,20,0,0,0,4
Nakhon Pathom,0,20,182,9191,1,13,314,40,88,8,7,10,26,42,14,47,14,473,1,8,17,3,21,3,7,5,5,1059,0,7,93,7,0,8,36,0,43,341,4,215,10,0,31,3,18,10,11,534,0,6,1049,6,1,38,11,15,125,485,5,12,1,216,393,39,2,6,7,5,3,3,7,19,19,5,10,2,0
Nakhon Si Thammarat,0,0,6,338,0,0,18,0,16,0,1,16,4,3,31,5,1,2,0,2,0,3,1,0,2,0,0,20,1,1,5,0,10,0,0,6,4,11,0,26,39,47,1,11,1,2,0,17,5,0,6,0,4,3,0,163,1,1,0,170,1,2,20,2,0,0,0,12,0,52,0,2,4,1,0,4,0
Nakhon Sawan,0,15,127,738,0,3,79,12,117,134,7,3,29,4,3,9,131,14,0,5,56,7,34,0,3,0,12,59,0,2,19,1,35,1,0,1,14,29,172,16,5,0,171,0,41,27,1,145,2,11,5,1,0,20,96,2,2,1,4,2,0,46,57,12,1,0,18,1,42,1,0,5,0,23,138,0,0
Narathiwat,0,0,0,60,0,3,2,0,2,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,5,39,0,0,0,1,2,0,60,0,0,0,6,0,0,5,0,0,0,1,4,0,0,1,0,0,0,0,28,0
Nakhon Nayok,0,5,79,1577,0,5,79,34,27,3,5,0,6,14,0,25,0,16,3,7,1,1,15,0,2,1,3,120,0,2,187,0,62,1,13,1,0,25,0,21,3,0,2,0,5,2,108,608,0,1,25,5,1,24,4,4,6,9,17,6,2,11,117,73,2,1,0,0,2,0,4,9,3,2,1,0,0
Phetchaburi,2,7,68,3315,0,3,135,25,71,4,4,15,26,26,4,14,6,108,1,5,13,0,15,2,26,5,4,271,1,5,67,5,358,11,25,1,19,0,4,2571,11,1,11,3,13,7,5,267,3,2,558,3,4,18,9,11,297,387,3,23,3,42,192,18,1,3,2,2,6,3,13,13,11,7,2,0,0
Phichit,0,2,17,127,0,0,12,4,27,10,1,1,7,0,0,1,9,4,0,2,5,0,11,0,2,0,2,20,0,0,4,1,2,0,181,0,3,5,0,3,0,0,216,0,24,8,1,20,0,3,1,0,0,1,15,0,0,1,1,0,1,1,7,1,1,0,9,0,2,0,0,4,1,9,4,0,0
Prachuap Khiri Khan,0,2,70,2543,0,10,115,24,62,4,4,87,30,16,15,34,7,65,1,3,18,1,7,0,19,3,1,206,0,5,67,1,206,22,23,2,17,2721,3,0,25,5,15,6,11,8,5,160,0,9,218,7,6,26,3,20,121,209,4,47,5,35,167,20,4,4,1,6,5,5,6,19,15,2,3,2,0
