,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Mae Hong Son,0,0,0,11,0,0,1,0,62,1,0,0,3,0,2,0,1,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nan,0,0,0,26,0,0,2,0,7,1,0,0,1,0,1,1,1,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,1,42,0,0,0,11,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0
Nonthaburi,0,8,138,5284,0,1,68,34,7,8,0,0,6,4,1,6,1,15,1,0,3,0,10,0,1,1,2,0,0,1,38,0,312,0,12,0,16,40,2,11,1,0,3,0,4,1,7,975,0,0,23,1,0,17,11,2,17,59,1,0,1,51,238,31,0,0,0,0,0,1,3,1,2,2,5,0,1
Nong Bua Lam Phu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,4,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0
Nong Khai,0,0,1,11,8,0,2,0,2,0,1,0,1,0,0,27,0,0,2,3,0,0,0,0,3,0,0,0,5,0,12,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,3,3,0,0,0,0,1,0,0,0,424,0,0,0,2
Nakhon Ratchasima,1,0,200,274,0,84,21,19,6,1,48,0,2,3,0,110,0,4,5,2,1,0,16,0,28,0,1,41,1,3,0,0,11,2,6,0,102,7,2,5,1,0,3,1,15,1,96,98,0,0,3,8,0,6,3,0,2,4,5,0,3,4,20,326,18,8,0,0,0,0,0,6,8,1,2,0,3
Nakhon Phanom,5,1,0,16,3,0,0,0,1,0,0,0,0,1,0,4,0,0,3,0,0,0,0,29,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Nakhon Pathom,0,2,24,1242,0,1,12,8,8,3,1,1,1,3,0,3,2,92,0,0,0,0,2,0,1,0,0,274,0,1,10,0,0,0,3,0,0,43,0,20,0,0,4,0,1,0,3,85,0,0,222,0,0,0,3,2,41,167,2,1,0,54,59,8,0,0,2,0,0,0,0,0,7,1,2,1,0
Nakhon Si Thammarat,0,0,3,37,0,0,5,0,0,0,0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,36,0,0,4,1,0,0,0,2,0,7,0,0,1,0,0,0,0
Nakhon Sawan,0,11,78,67,0,0,7,4,3,61,5,0,2,0,1,0,59,1,0,2,18,4,14,0,0,0,2,11,0,0,2,0,4,0,0,0,1,7,49,0,0,0,62,0,5,12,0,30,0,4,2,0,0,2,78,1,0,0,0,0,0,26,6,4,0,0,3,0,20,0,0,0,0,10,37,0,0
