uid	polyline	isLeafNode	value
34	LINESTRING(104.146774942 18.1050514788, 104.050701563 18.1050514788, 104.050701563 18.0150503818, 104.146774942 18.0150503818, 104.146774942 18.1050514788)	True	Bueng Kan
35	LINESTRING(104.146774942 18.0150503818, 104.050701563 18.0150503818, 104.050701563 17.9250492848, 104.146774942 17.9250492848, 104.146774942 18.0150503818)	True	Bueng Kan
36	LINESTRING(104.242848322 18.0150503818, 104.146774942 18.0150503818, 104.146774942 17.9250492848, 104.242848322 17.9250492848, 104.242848322 18.0150503818)	True	Nakhon Phanom
37	LINESTRING(103.858554804 18.2850536727, 103.474261286 18.2850536727, 103.474261286 17.9250492848, 103.858554804 17.9250492848, 103.858554804 18.2850536727)	False	NULL
38	LINESTRING(103.858554804 18.2850536727, 103.666408045 18.2850536727, 103.666408045 18.1050514788, 103.858554804 18.1050514788, 103.858554804 18.2850536727)	True	Bueng Kan
39	LINESTRING(103.666408045 18.2850536727, 103.474261286 18.2850536727, 103.474261286 18.1050514788, 103.666408045 18.1050514788, 103.666408045 18.2850536727)	True	Bueng Kan
40	LINESTRING(103.666408045 18.1050514788, 103.474261286 18.1050514788, 103.474261286 17.9250492848, 103.666408045 17.9250492848, 103.666408045 18.1050514788)	False	NULL
41	LINESTRING(103.666408045 18.1050514788, 103.570334666 18.1050514788, 103.570334666 18.0150503818, 103.666408045 18.0150503818, 103.666408045 18.1050514788)	True	Bueng Kan
42	LINESTRING(103.570334666 18.1050514788, 103.474261286 18.1050514788, 103.474261286 18.0150503818, 103.570334666 18.0150503818, 103.570334666 18.1050514788)	True	Sakon Nakhon
43	LINESTRING(103.570334666 18.0150503818, 103.474261286 18.0150503818, 103.474261286 17.9250492848, 103.570334666 17.9250492848, 103.570334666 18.0150503818)	True	Sakon Nakhon
44	LINESTRING(103.666408045 18.0150503818, 103.570334666 18.0150503818, 103.570334666 17.9250492848, 103.666408045 17.9250492848, 103.666408045 18.0150503818)	True	Sakon Nakhon
45	LINESTRING(103.858554804 18.1050514788, 103.666408045 18.1050514788, 103.666408045 17.9250492848, 103.858554804 17.9250492848, 103.858554804 18.1050514788)	True	Bueng Kan
46	LINESTRING(103.858554804 17.9250492848, 103.474261286 17.9250492848, 103.474261286 17.565044897, 103.858554804 17.565044897, 103.858554804 17.9250492848)	False	NULL
47	LINESTRING(103.858554804 17.9250492848, 103.666408045 17.9250492848, 103.666408045 17.7450470909, 103.858554804 17.7450470909, 103.858554804 17.9250492848)	False	NULL
48	LINESTRING(103.858554804 17.9250492848, 103.762481424 17.9250492848, 103.762481424 17.8350481879, 103.858554804 17.8350481879, 103.858554804 17.9250492848)	True	Bueng Kan
49	LINESTRING(103.762481424 17.9250492848, 103.666408045 17.9250492848, 103.666408045 17.8350481879, 103.762481424 17.8350481879, 103.762481424 17.9250492848)	True	Sakon Nakhon
50	LINESTRING(103.762481424 17.8350481879, 103.666408045 17.8350481879, 103.666408045 17.7450470909, 103.762481424 17.7450470909, 103.762481424 17.8350481879)	True	Sakon Nakhon
51	LINESTRING(103.858554804 17.8350481879, 103.762481424 17.8350481879, 103.762481424 17.7450470909, 103.858554804 17.7450470909, 103.858554804 17.8350481879)	True	Sakon Nakhon
52	LINESTRING(103.666408045 17.9250492848, 103.474261286 17.9250492848, 103.474261286 17.7450470909, 103.666408045 17.7450470909, 103.666408045 17.9250492848)	True	Sakon Nakhon
53	LINESTRING(103.666408045 17.7450470909, 103.474261286 17.7450470909, 103.474261286 17.565044897, 103.666408045 17.565044897, 103.666408045 17.7450470909)	True	Sakon Nakhon
54	LINESTRING(103.858554804 17.7450470909, 103.666408045 17.7450470909, 103.666408045 17.565044897, 103.858554804 17.565044897, 103.858554804 17.7450470909)	True	Sakon Nakhon
55	LINESTRING(104.242848322 17.9250492848, 103.858554804 17.9250492848, 103.858554804 17.565044897, 104.242848322 17.565044897, 104.242848322 17.9250492848)	False	NULL
56	LINESTRING(104.242848322 17.9250492848, 104.050701563 17.9250492848, 104.050701563 17.7450470909, 104.242848322 17.7450470909, 104.242848322 17.9250492848)	False	NULL
57	LINESTRING(104.242848322 17.9250492848, 104.146774942 17.9250492848, 104.146774942 17.8350481879, 104.242848322 17.8350481879, 104.242848322 17.9250492848)	True	Nakhon Phanom
58	LINESTRING(104.146774942 17.9250492848, 104.050701563 17.9250492848, 104.050701563 17.8350481879, 104.146774942 17.8350481879, 104.146774942 17.9250492848)	True	Bueng Kan
59	LINESTRING(104.146774942 17.8350481879, 104.050701563 17.8350481879, 104.050701563 17.7450470909, 104.146774942 17.7450470909, 104.146774942 17.8350481879)	True	Nakhon Phanom
60	LINESTRING(104.242848322 17.8350481879, 104.146774942 17.8350481879, 104.146774942 17.7450470909, 104.242848322 17.7450470909, 104.242848322 17.8350481879)	True	Nakhon Phanom
61	LINESTRING(104.050701563 17.9250492848, 103.858554804 17.9250492848, 103.858554804 17.7450470909, 104.050701563 17.7450470909, 104.050701563 17.9250492848)	False	NULL
62	LINESTRING(104.050701563 17.9250492848, 103.954628183 17.9250492848, 103.954628183 17.8350481879, 104.050701563 17.8350481879, 104.050701563 17.9250492848)	True	Nakhon Phanom
63	LINESTRING(103.954628183 17.9250492848, 103.858554804 17.9250492848, 103.858554804 17.8350481879, 103.954628183 17.8350481879, 103.954628183 17.9250492848)	True	Bueng Kan
64	LINESTRING(103.954628183 17.8350481879, 103.858554804 17.8350481879, 103.858554804 17.7450470909, 103.954628183 17.7450470909, 103.954628183 17.8350481879)	True	Sakon Nakhon
65	LINESTRING(104.050701563 17.8350481879, 103.954628183 17.8350481879, 103.954628183 17.7450470909, 104.050701563 17.7450470909, 104.050701563 17.8350481879)	True	Sakon Nakhon
66	LINESTRING(104.050701563 17.7450470909, 103.858554804 17.7450470909, 103.858554804 17.565044897, 104.050701563 17.565044897, 104.050701563 17.7450470909)	True	Sakon Nakhon
67	LINESTRING(104.242848322 17.7450470909, 104.050701563 17.7450470909, 104.050701563 17.565044897, 104.242848322 17.565044897, 104.242848322 17.7450470909)	True	Nakhon Phanom
68	LINESTRING(105.011435358 18.2850536727, 104.242848322 18.2850536727, 104.242848322 17.565044897, 105.011435358 17.565044897, 105.011435358 18.2850536727)	False	NULL
69	LINESTRING(105.011435358 18.2850536727, 104.62714184 18.2850536727, 104.62714184 17.9250492848, 105.011435358 17.9250492848, 105.011435358 18.2850536727)	True	NULL
70	LINESTRING(104.62714184 18.2850536727, 104.242848322 18.2850536727, 104.242848322 17.9250492848, 104.62714184 17.9250492848, 104.62714184 18.2850536727)	True	NULL
71	LINESTRING(104.62714184 17.9250492848, 104.242848322 17.9250492848, 104.242848322 17.565044897, 104.62714184 17.565044897, 104.62714184 17.9250492848)	False	NULL
72	LINESTRING(104.62714184 17.9250492848, 104.434995081 17.9250492848, 104.434995081 17.7450470909, 104.62714184 17.7450470909, 104.62714184 17.9250492848)	True	NULL
