,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Surat Thani,0,15,140,1223,3,21,212,59,315,13,12,132,88,47,340,57,8,76,8,19,49,27,88,3,12,40,21,281,4,11,115,7,91,156,41,8,35,150,12,189,261,37,35,99,27,23,13,186,15,13,52,13,24,68,20,141,78,59,10,0,7,34,392,50,15,7,20,31,24,51,30,21,30,18,9,11,4
Sakon Nakhon,9,4,23,244,36,16,76,22,53,3,14,6,21,20,9,187,8,15,62,46,13,7,11,30,77,6,6,97,12,56,97,128,33,5,16,0,16,37,7,43,9,1,17,4,15,11,11,72,3,7,17,40,3,25,3,8,18,15,9,7,0,13,104,23,11,17,8,3,7,5,11,38,186,6,8,3,6
Suphan Buri,3,136,436,1519,5,35,474,179,225,109,21,21,111,124,24,87,53,280,14,30,108,54,116,8,29,18,28,774,3,25,249,14,440,25,159,2,93,309,29,295,37,1,101,13,61,48,36,544,5,42,170,25,6,156,113,24,156,142,18,34,13,0,613,118,19,6,25,5,54,15,39,33,44,36,55,5,8
Samut Prakan,31,263,1959,17728,21,270,5374,1732,1741,183,142,137,749,957,341,753,176,1156,98,190,490,225,582,42,259,90,153,5964,28,200,1793,88,2187,152,520,18,813,1990,142,2103,544,40,464,164,303,208,330,4317,40,159,931,199,34,1459,389,316,1173,1172,154,392,104,613,0,965,130,146,139,93,197,84,326,393,403,162,105,28,61
Saraburi,6,82,702,2094,10,134,733,309,219,53,67,33,73,163,37,260,53,170,47,49,88,46,375,19,118,15,27,973,9,54,1008,24,353,29,116,3,244,318,28,334,38,6,102,18,135,36,99,1001,3,31,140,82,6,222,125,44,197,196,41,50,23,118,965,0,62,55,28,9,48,12,47,94,103,27,34,5,20
Surin,8,6,62,348,1,175,134,47,37,9,23,6,18,42,6,86,5,43,13,20,13,10,20,7,44,2,7,123,2,11,193,14,42,4,19,0,23,46,5,45,11,1,19,4,18,9,28,121,2,7,31,42,2,48,17,7,34,21,17,15,11,19,130,62,0,122,8,4,9,3,19,154,19,4,5,2,18
Sisaket,17,3,40,377,4,94,122,33,34,4,23,1,14,38,2,130,5,22,19,16,12,9,17,14,64,5,3,115,5,17,150,14,51,3,9,0,18,39,3,42,7,0,16,3,13,8,20,108,1,3,20,62,3,39,4,3,18,15,14,7,17,6,146,55,122,0,7,1,4,2,16,445,25,5,2,1,35
Sukhothai,1,12,87,363,3,17,128,36,211,14,13,7,88,22,22,41,59,38,4,13,107,48,43,1,17,21,21,141,4,10,60,6,51,6,77,2,16,46,35,46,17,1,248,8,48,54,4,106,3,45,17,7,7,26,30,10,27,18,8,20,8,25,139,28,8,7,0,6,52,2,11,12,26,75,13,3,3
Satun,0,4,29,215,0,4,52,18,46,3,4,9,18,10,67,11,2,18,4,6,9,7,12,1,4,6,5,61,1,4,27,1,28,17,6,3,6,31,3,33,31,10,5,17,6,3,5,36,12,4,21,4,4,13,2,280,20,15,2,31,3,5,93,9,4,1,6,0,4,30,13,6,6,2,4,14,1
Tak,0,26,122,447,1,8,173,58,343,43,9,14,85,37,11,39,158,47,5,12,235,102,39,3,10,27,25,173,1,8,69,7,78,10,148,2,30,76,23,83,17,2,129,10,33,49,14,166,2,48,40,11,5,56,54,15,38,34,10,24,7,54,197,48,9,4,52,4,0,5,17,10,16,35,23,4,4
Trang,0,4,26,240,1,5,49,20,54,3,5,18,32,15,157,15,5,20,3,4,11,7,16,0,2,3,12,84,0,0,21,2,29,57,11,6,12,32,2,43,55,70,11,29,13,7,2,62,17,8,15,2,5,29,5,160,23,17,6,51,5,15,84,12,3,2,2,30,5,0,10,4,6,2,4,9,0
Trat,1,21,102,802,2,37,332,108,127,10,15,10,47,292,28,61,9,73,9,27,35,18,60,6,20,13,12,256,3,13,129,10,90,13,21,3,40,83,5,90,28,3,35,9,22,17,30,196,2,12,43,23,4,201,18,18,41,42,28,30,11,39,326,47,19,16,11,13,17,10,0,36,31,11,5,4,3
Ubon Ratchathani,88,10,97,1054,8,160,330,78,112,9,35,12,60,82,14,335,10,49,40,55,35,20,41,55,158,6,13,316,5,32,322,45,87,12,27,1,46,119,8,130,22,4,45,6,41,15,46,280,4,17,37,172,6,118,14,28,58,50,26,21,38,33,393,94,154,445,12,6,10,4,36,0,73,16,4,7,122
Udon Thani,7,11,110,1017,70,45,340,75,201,12,49,18,83,73,23,891,14,66,83,202,57,36,51,18,263,12,19,345,142,727,379,72,114,20,38,1,47,113,14,127,57,5,72,20,61,28,50,283,5,20,54,99,5,117,24,39,52,57,9,30,186,44,403,103,19,25,26,6,16,6,31,73,0,23,9,8,16
Uttaradit,2,26,108,382,2,12,142,42,248,29,13,14,151,30,14,63,33,24,8,25,147,62,45,3,26,12,55,142,5,8,56,3,63,11,108,0,17,67,59,74,14,0,254,6,59,188,8,141,1,84,22,15,3,49,50,13,26,33,3,18,6,36,162,27,4,5,75,2,35,2,11,16,23,0,10,3,6
Uthai Thani,0,35,110,309,3,8,104,32,49,67,6,5,23,27,7,15,36,30,4,2,24,16,48,2,8,5,9,125,3,5,60,5,59,3,149,0,12,50,33,42,10,0,53,9,25,8,14,125,1,12,23,9,2,41,52,6,27,23,7,9,8,55,105,34,5,2,13,4,23,4,5,4,9,10,0,1,2
Yala,0,2,11,79,0,2,22,5,24,3,3,5,7,4,11,13,6,9,1,4,5,3,6,1,2,4,3,30,1,6,12,2,16,11,6,24,4,9,3,16,6,11,6,3,6,1,5,25,57,2,7,2,2,8,2,93,5,7,2,11,3,5,28,5,2,1,3,14,4,9,4,7,8,3,1,0,1
Yasothon,18,3,20,122,2,30,44,16,17,3,10,2,7,12,2,78,3,12,21,16,7,8,8,25,66,3,3,50,4,12,57,12,23,5,8,0,11,18,2,22,2,0,13,2,12,7,6,36,2,2,7,101,4,17,2,4,15,10,3,4,6,8,61,20,18,35,3,1,4,0,3,122,16,6,2,1,0
