uid,lat,lon,province,province_abbr,province_abbr_index,epoch,date,time
151803332,14.37878764,101.87178017,Nakhon Ratchasima,NMA,31,151803332,2016-01-31,11:48:16
869753527,13.827877,100.567012,Bangkok,BKK,4,869753527,2016-01-31,11:48:16
393353061,13.91149043,100.54837704,Nonthaburi,NBI,28,393353061,2016-01-31,11:48:15
1610627424,13.74602371,100.53459048,Bangkok,BKK,4,1610627424,2016-01-31,11:48:14
284100753,13.74497113,100.53395748,Bangkok,BKK,4,284100753,2016-01-31,11:48:13
2161266199,18.75884353,98.97222519,Chiang Mai,CMI,9,2161266199,2016-01-31,11:48:13
235047744,14.12217718,99.40042213,Kanchanaburi,KRI,18,235047744,2016-01-31,11:48:12
116654651,13.7522,100.494,Bangkok,BKK,4,116654651,2016-01-31,11:48:11
248994894,13.91149043,100.54837704,Nonthaburi,NBI,28,248994894,2016-01-31,11:48:10
202954048,13.79504635,100.81037663,Bangkok,BKK,4,202954048,2016-01-31,11:48:10
98084272,13.9654132,100.58727369,Pathum Thani,PTE,48,98084272,2016-01-31,11:48:05
248497205,18.7917194,98.955449,Chiang Mai,CMI,9,248497205,2016-01-31,11:48:03
290597743,18.285383,99.5070419,Lampang,LPG,21,290597743,2016-01-31,11:48:02
408950625,13.74602371,100.53459048,Bangkok,BKK,4,408950625,2016-01-31,11:48:01
357472804,13.74410655,100.48874714,Bangkok,BKK,4,357472804,2016-01-31,11:48:01
1632453043,13.76714723,100.64208269,Bangkok,BKK,4,1632453043,2016-01-31,11:48:00
1095173852,17.53791551,101.72200992,Loei Province,LEI,20,1095173852,2016-01-31,11:47:55
2568425708,19.90217823,99.82128011,Chiang Rai,CRI,13,2568425708,2016-01-31,11:47:55
375554535,13.65315978,100.67858219,Samut Prakan,SPK,63,375554535,2016-01-31,11:47:54
169957840,13.74124884,100.62504346,Bangkok,BKK,4,169957840,2016-01-31,11:47:53
1201372758,13.74443955,100.5347489,Bangkok,BKK,4,1201372758,2016-01-31,11:47:53
552640880,13.84232565,100.57003623,Bangkok,BKK,4,552640880,2016-01-31,11:47:53
1412221194,14.35698479,100.57100895,Phra Nakhon Si Ayutthaya,AYA,3,1412221194,2016-01-31,11:47:51
78232505,13.747338,100.587296,Bangkok,BKK,4,78232505,2016-01-31,11:47:50
362538440,13.75894607,100.62116146,Bangkok,BKK,4,362538440,2016-01-31,11:47:49
146896489,13.82672465,100.67662954,Bangkok,BKK,4,146896489,2016-01-31,11:47:47
605424834,14.21541231,101.90059846,Prachinburi,PRI,47,605424834,2016-01-31,11:47:46
131002008,17.38700955,102.77521133,Udon Thani,UDN,73,131002008,2016-01-31,11:47:46
3291374880,14.90408562,102.06611538,Nakhon Ratchasima,NMA,31,3291374880,2016-01-31,11:47:44
2795048718,13.66945453,100.63465834,Samut Prakan,SPK,63,2795048718,2016-01-31,11:47:41
253023541,14.10565308,100.98259449,Nakhon Nayok,NYK,37,253023541,2016-01-31,11:47:39
467178808,15.26560716,100.34865866,Nakhon Sawan,NSN,35,467178808,2016-01-31,11:47:39
179971045,13.7522,100.494,Bangkok,BKK,4,179971045,2016-01-31,11:47:39
1916685553,13.64727963,100.68145752,Samut Prakan,SPK,63,1916685553,2016-01-31,11:47:37
3149317945,13.63895802,100.63350433,Samut Prakan,SPK,63,3149317945,2016-01-31,11:47:35
70560329,13.98673158,100.63154658,Pathum Thani,PTE,48,70560329,2016-01-31,11:47:34
3213683156,13.75263087,100.48543096,Bangkok,BKK,4,3213683156,2016-01-31,11:47:34
177074004,13.09296396,99.95099641,Phetchaburi,PBI,38,177074004,2016-01-31,11:47:34
2892160838,13.91140711,100.54833412,Nonthaburi,NBI,28,2892160838,2016-01-31,11:47:33
1283123550,13.91149043,100.54837704,Nonthaburi,NBI,28,1283123550,2016-01-31,11:47:29
323189881,13.740604,100.507146,Bangkok,BKK,4,323189881,2016-01-31,11:47:29
350169241,13.69419541,100.64801783,Samut Prakan,SPK,63,350169241,2016-01-31,11:47:28
104713127,13.82632402,100.67660164,Bangkok,BKK,4,104713127,2016-01-31,11:47:27
1173797372,19.91622117,99.8238141,Chiang Rai,CRI,13,1173797372,2016-01-31,11:47:25
111858777,13.38353553,99.98011204,Samut Songkhram,SKM,57,111858777,2016-01-31,11:47:22
386492267,13.53797094,99.82346533,Ratchaburi,RBR,51,386492267,2016-01-31,11:47:19
233496899,15.20343764,104.81331764,Ubon Ratchathani,UBN,72,233496899,2016-01-31,11:47:18
2331704852,18.284828,99.500242,Lampang,LPG,21,2331704852,2016-01-31,11:47:18
76884000,18.14345587,100.13690472,Phrae,PRE,46,76884000,2016-01-31,11:47:18
284406571,18.92812975,99.12769147,Chiang Mai,CMI,9,284406571,2016-01-31,11:47:17
106098525,13.91149043,100.54837704,Nonthaburi,NBI,28,106098525,2016-01-31,11:47:17
307283513,13.85458057,100.58533251,Bangkok,BKK,4,307283513,2016-01-31,11:47:16
468388174,13.74559793,100.5337397,Bangkok,BKK,4,468388174,2016-01-31,11:47:15
1712995614,13.67029895,100.64536572,Samut Prakan,SPK,63,1712995614,2016-01-31,11:47:15
278546027,12.92260148,100.78895564,Chonburi,CBI,7,278546027,2016-01-31,11:47:14
100780396,18.79162458,98.97029473,Chiang Mai,CMI,9,100780396,2016-01-31,11:47:14
362242023,13.60426295,100.71133075,Samut Prakan,SPK,63,362242023,2016-01-31,11:47:12
359921102,13.68952642,100.64812822,Samut Prakan,SPK,63,359921102,2016-01-31,11:47:11
229727618,14.78335336,100.67350804,Lopburi Province,LRI,23,229727618,2016-01-31,11:47:10
114390066,13.68260823,101.0655186,Chachoengsao,CCO,8,114390066,2016-01-31,11:47:06
346386358,15.23667185,104.84986557,Ubon Ratchathani,UBN,72,346386358,2016-01-31,11:47:04
335687724,15.96844328,103.99670662,Roi Et,RET,52,335687724,2016-01-31,11:47:03
74189573,13.77883898,100.47408438,Bangkok,BKK,4,74189573,2016-01-31,11:47:02
2892160838,13.91140711,100.54833412,Nonthaburi,NBI,28,2892160838,2016-01-31,11:47:00
212440632,13.72736805,100.51572103,Bangkok,BKK,4,212440632,2016-01-31,11:47:00
203767369,13.74729705,100.57299839,Bangkok,BKK,4,203767369,2016-01-31,11:46:59
56650647,13.9110362,100.5487566,Nonthaburi,NBI,28,56650647,2016-01-31,11:46:59
2728481785,13.9705384,99.57809774,Kanchanaburi,KRI,18,2728481785,2016-01-31,11:46:56
327941548,19.91966956,99.85155935,Chiang Rai,CRI,13,327941548,2016-01-31,11:46:55
408294461,13.75383067,100.49864362,Bangkok,BKK,4,408294461,2016-01-31,11:46:55
287617810,15.23572692,104.85119951,Ubon Ratchathani,UBN,72,287617810,2016-01-31,11:46:50
3237463010,13.91082392,100.54421425,Nonthaburi,NBI,28,3237463010,2016-01-31,11:46:50
412165867,18.14109744,100.14231722,Phrae,PRE,46,412165867,2016-01-31,11:46:50
240315923,13.7642086,100.53937286,Bangkok,BKK,4,240315923,2016-01-31,11:46:49
286577797,13.6877913,100.64742565,Samut Prakan,SPK,63,286577797,2016-01-31,11:46:49
2285357738,13.76584138,100.53911789,Bangkok,BKK,4,2285357738,2016-01-31,11:46:48
1346778582,13.74585696,100.53943992,Bangkok,BKK,4,1346778582,2016-01-31,11:46:48
2650808106,18.78778833,98.98791564,Chiang Mai,CMI,9,2650808106,2016-01-31,11:46:46
604372050,13.81628,100.56097,Bangkok,BKK,4,604372050,2016-01-31,11:46:41
4833124154,17.15752199,104.14562287,Sakon Nakhon,SNK,61,4833124154,2016-01-31,11:46:41
367583219,13.80140205,100.31567689,Nonthaburi,NBI,28,367583219,2016-01-31,11:46:41
279825563,13.75814365,100.56569338,Bangkok,BKK,4,279825563,2016-01-31,11:46:41
328379860,13.74565895,100.53406477,Bangkok,BKK,4,328379860,2016-01-31,11:46:36
376602501,16.43070577,103.50432903,Kalasin,KSN,19,376602501,2016-01-31,11:46:36
130398599,13.86938643,100.53502955,Bangkok,BKK,4,130398599,2016-01-31,11:46:34
239704973,13.74602371,100.53459048,Bangkok,BKK,4,239704973,2016-01-31,11:46:34
2542582754,16.20138957,103.27633881,Maha Sarakham,MKM,25,2542582754,2016-01-31,11:46:33
54546484,13.71683414,100.63739545,Bangkok,BKK,4,54546484,2016-01-31,11:46:32
1132957118,18.7998868,98.9849891,Chiang Mai,CMI,9,1132957118,2016-01-31,11:46:32
207437627,13.74603934,100.53460658,Bangkok,BKK,4,207437627,2016-01-31,11:46:32
229753960,13.75986878,100.48572353,Bangkok,BKK,4,229753960,2016-01-31,11:46:31
135533982,14.19399271,101.3838971,Prachinburi,PRI,47,135533982,2016-01-31,11:46:28
134458619,13.87711142,100.41113797,Nonthaburi,NBI,28,134458619,2016-01-31,11:46:27
144836409,13.69616173,100.7518065,Bangkok,BKK,4,144836409,2016-01-31,11:45:48
279875327,19.89797034,99.81807323,Chiang Rai,CRI,13,279875327,2016-01-31,11:46:25
4835241554,18.8158522,99.2284689,Chiang Mai,CMI,9,4835241554,2016-01-31,11:46:24
