uid;polyline;isLeafNode;province
24145;LINESTRING(104.242848322 17.9250492848, 104.146774942 17.9250492848, 104.146774942 17.8350481879, 104.242848322 17.8350481879, 104.242848322 17.9250492848);True;Nakhon Phanom
24146;LINESTRING(104.146774942 17.9250492848, 104.050701563 17.9250492848, 104.050701563 17.8350481879, 104.146774942 17.8350481879, 104.146774942 17.9250492848);True;Bueng Kan
24147;LINESTRING(104.146774942 17.8350481879, 104.050701563 17.8350481879, 104.050701563 17.7450470909, 104.146774942 17.7450470909, 104.146774942 17.8350481879);True;Nakhon Phanom
24148;LINESTRING(104.242848322 17.8350481879, 104.146774942 17.8350481879, 104.146774942 17.7450470909, 104.242848322 17.7450470909, 104.242848322 17.8350481879);True;Nakhon Phanom
24149;LINESTRING(104.050701563 17.9250492848, 103.954628183 17.9250492848, 103.954628183 17.8350481879, 104.050701563 17.8350481879, 104.050701563 17.9250492848);True;Nakhon Phanom
24150;LINESTRING(103.954628183 17.9250492848, 103.858554804 17.9250492848, 103.858554804 17.8350481879, 103.954628183 17.8350481879, 103.954628183 17.9250492848);True;Bueng Kan
24151;LINESTRING(103.954628183 17.8350481879, 103.858554804 17.8350481879, 103.858554804 17.7450470909, 103.954628183 17.7450470909, 103.954628183 17.8350481879);True;Sakon Nakhon
24152;LINESTRING(104.050701563 17.8350481879, 103.954628183 17.8350481879, 103.954628183 17.7450470909, 104.050701563 17.7450470909, 104.050701563 17.8350481879);True;Sakon Nakhon
24143;LINESTRING(104.050701563 17.7450470909, 103.858554804 17.7450470909, 103.858554804 17.565044897, 104.050701563 17.565044897, 104.050701563 17.7450470909);True;Sakon Nakhon
24144;LINESTRING(104.242848322 17.7450470909, 104.050701563 17.7450470909, 104.050701563 17.565044897, 104.242848322 17.565044897, 104.242848322 17.7450470909);True;Nakhon Phanom
24161;LINESTRING(105.011435358 18.2850536727, 104.62714184 18.2850536727, 104.62714184 17.9250492848, 105.011435358 17.9250492848, 105.011435358 18.2850536727);True;NULL
24162;LINESTRING(104.62714184 18.2850536727, 104.242848322 18.2850536727, 104.242848322 17.9250492848, 104.62714184 17.9250492848, 104.62714184 18.2850536727);True;NULL
24205;LINESTRING(104.62714184 17.9250492848, 104.434995081 17.9250492848, 104.434995081 17.7450470909, 104.62714184 17.7450470909, 104.62714184 17.9250492848);True;NULL
24213;LINESTRING(104.434995081 17.9250492848, 104.338921701 17.9250492848, 104.338921701 17.8350481879, 104.434995081 17.8350481879, 104.434995081 17.9250492848);True;NULL
24214;LINESTRING(104.338921701 17.9250492848, 104.242848322 17.9250492848, 104.242848322 17.8350481879, 104.338921701 17.8350481879, 104.338921701 17.9250492848);True;NULL
24215;LINESTRING(104.338921701 17.8350481879, 104.242848322 17.8350481879, 104.242848322 17.7450470909, 104.338921701 17.7450470909, 104.338921701 17.8350481879);True;Nakhon Phanom
24216;LINESTRING(104.434995081 17.8350481879, 104.338921701 17.8350481879, 104.338921701 17.7450470909, 104.434995081 17.7450470909, 104.434995081 17.8350481879);True;NULL
24207;LINESTRING(104.434995081 17.7450470909, 104.242848322 17.7450470909, 104.242848322 17.565044897, 104.434995081 17.565044897, 104.434995081 17.7450470909);True;Nakhon Phanom
24221;LINESTRING(104.62714184 17.7450470909, 104.53106846 17.7450470909, 104.53106846 17.6550459939, 104.62714184 17.6550459939, 104.62714184 17.7450470909);True;NULL
24222;LINESTRING(104.53106846 17.7450470909, 104.434995081 17.7450470909, 104.434995081 17.6550459939, 104.53106846 17.6550459939, 104.53106846 17.7450470909);True;NULL
24223;LINESTRING(104.53106846 17.6550459939, 104.434995081 17.6550459939, 104.434995081 17.565044897, 104.53106846 17.565044897, 104.53106846 17.6550459939);True;Nakhon Phanom
24224;LINESTRING(104.62714184 17.6550459939, 104.53106846 17.6550459939, 104.53106846 17.565044897, 104.62714184 17.565044897, 104.62714184 17.6550459939);True;NULL
24164;LINESTRING(105.011435358 17.9250492848, 104.62714184 17.9250492848, 104.62714184 17.565044897, 105.011435358 17.565044897, 105.011435358 17.9250492848);True;NULL
23224;LINESTRING(106.548609429 19.0050624485, 105.011435358 19.0050624485, 105.011435358 17.565044897, 106.548609429 17.565044897, 106.548609429 19.0050624485);True;NULL
24585;LINESTRING(106.548609429 17.565044897, 105.011435358 17.565044897, 105.011435358 16.1250273455, 106.548609429 16.1250273455, 106.548609429 17.565044897);True;NULL
24937;LINESTRING(105.011435358 17.565044897, 104.819288599 17.565044897, 104.819288599 17.385042703, 105.011435358 17.385042703, 105.011435358 17.565044897);True;NULL
24945;LINESTRING(104.819288599 17.565044897, 104.723215219 17.565044897, 104.723215219 17.4750438, 104.819288599 17.4750438, 104.819288599 17.565044897);True;NULL
24946;LINESTRING(104.723215219 17.565044897, 104.62714184 17.565044897, 104.62714184 17.4750438, 104.723215219 17.4750438, 104.723215219 17.565044897);True;Nakhon Phanom
24947;LINESTRING(104.723215219 17.4750438, 104.62714184 17.4750438, 104.62714184 17.385042703, 104.723215219 17.385042703, 104.723215219 17.4750438);True;Nakhon Phanom
24948;LINESTRING(104.819288599 17.4750438, 104.723215219 17.4750438, 104.723215219 17.385042703, 104.819288599 17.385042703, 104.819288599 17.4750438);True;Nakhon Phanom
24939;LINESTRING(104.819288599 17.385042703, 104.62714184 17.385042703, 104.62714184 17.2050405091, 104.819288599 17.2050405091, 104.819288599 17.385042703);True;Nakhon Phanom
24940;LINESTRING(105.011435358 17.385042703, 104.819288599 17.385042703, 104.819288599 17.2050405091, 105.011435358 17.2050405091, 105.011435358 17.385042703);True;NULL
24957;LINESTRING(104.62714184 17.565044897, 104.434995081 17.565044897, 104.434995081 17.385042703, 104.62714184 17.385042703, 104.62714184 17.565044897);True;Nakhon Phanom
24958;LINESTRING(104.434995081 17.565044897, 104.242848322 17.565044897, 104.242848322 17.385042703, 104.434995081 17.385042703, 104.434995081 17.565044897);True;Nakhon Phanom
24959;LINESTRING(104.434995081 17.385042703, 104.242848322 17.385042703, 104.242848322 17.2050405091, 104.434995081 17.2050405091, 104.434995081 17.385042703);True;Sakon Nakhon
24960;LINESTRING(104.62714184 17.385042703, 104.434995081 17.385042703, 104.434995081 17.2050405091, 104.62714184 17.2050405091, 104.62714184 17.385042703);True;Nakhon Phanom
24977;LINESTRING(104.62714184 17.2050405091, 104.434995081 17.2050405091, 104.434995081 17.0250383152, 104.62714184 17.0250383152, 104.62714184 17.2050405091);True;Nakhon Phanom
24985;LINESTRING(104.434995081 17.2050405091, 104.338921701 17.2050405091, 104.338921701 17.1150394121, 104.434995081 17.1150394121, 104.434995081 17.2050405091);True;Sakon Nakhon
24986;LINESTRING(104.338921701 17.2050405091, 104.242848322 17.2050405091, 104.242848322 17.1150394121, 104.338921701 17.1150394121, 104.338921701 17.2050405091);True;Sakon Nakhon
24987;LINESTRING(104.338921701 17.1150394121, 104.242848322 17.1150394121, 104.242848322 17.0250383152, 104.338921701 17.0250383152, 104.338921701 17.1150394121);True;Sakon Nakhon
24988;LINESTRING(104.434995081 17.1150394121, 104.338921701 17.1150394121, 104.338921701 17.0250383152, 104.434995081 17.0250383152, 104.434995081 17.1150394121);True;Nakhon Phanom
24989;LINESTRING(104.434995081 17.0250383152, 104.338921701 17.0250383152, 104.338921701 16.9350372182, 104.434995081 16.9350372182, 104.434995081 17.0250383152);True;Nakhon Phanom
24990;LINESTRING(104.338921701 17.0250383152, 104.242848322 17.0250383152, 104.242848322 16.9350372182, 104.338921701 16.9350372182, 104.338921701 17.0250383152);True;Sakon Nakhon
24991;LINESTRING(104.338921701 16.9350372182, 104.242848322 16.9350372182, 104.242848322 16.8450361212, 104.338921701 16.8450361212, 104.338921701 16.9350372182);True;Nakhon Phanom
24992;LINESTRING(104.434995081 16.9350372182, 104.338921701 16.9350372182, 104.338921701 16.8450361212, 104.434995081 16.8450361212, 104.434995081 16.9350372182);True;Nakhon Phanom
24980;LINESTRING(104.62714184 17.0250383152, 104.434995081 17.0250383152, 104.434995081 16.8450361212, 104.62714184 16.8450361212, 104.62714184 17.0250383152);True;Nakhon Phanom
24997;LINESTRING(105.011435358 17.2050405091, 104.819288599 17.2050405091, 104.819288599 17.0250383152, 105.011435358 17.0250383152, 105.011435358 17.2050405091);True;NULL
25005;LINESTRING(104.819288599 17.2050405091, 104.723215219 17.2050405091, 104.723215219 17.1150394121, 104.819288599 17.1150394121, 104.819288599 17.2050405091);True;Nakhon Phanom
25006;LINESTRING(104.723215219 17.2050405091, 104.62714184 17.2050405091, 104.62714184 17.1150394121, 104.723215219 17.1150394121, 104.723215219 17.2050405091);True;Nakhon Phanom
25007;LINESTRING(104.723215219 17.1150394121, 104.62714184 17.1150394121, 104.62714184 17.0250383152, 104.723215219 17.0250383152, 104.723215219 17.1150394121);True;Nakhon Phanom
25008;LINESTRING(104.819288599 17.1150394121, 104.723215219 17.1150394121, 104.723215219 17.0250383152, 104.819288599 17.0250383152, 104.819288599 17.1150394121);True;NULL
25009;LINESTRING(104.819288599 17.0250383152, 104.723215219 17.0250383152, 104.723215219 16.9350372182, 104.819288599 16.9350372182, 104.819288599 17.0250383152);True;NULL
25010;LINESTRING(104.723215219 17.0250383152, 104.62714184 17.0250383152, 104.62714184 16.9350372182, 104.723215219 16.9350372182, 104.723215219 17.0250383152);True;Nakhon Phanom
25011;LINESTRING(104.723215219 16.9350372182, 104.62714184 16.9350372182, 104.62714184 16.8450361212, 104.723215219 16.8450361212, 104.723215219 16.9350372182);True;Nakhon Phanom
25012;LINESTRING(104.819288599 16.9350372182, 104.723215219 16.9350372182, 104.723215219 16.8450361212, 104.819288599 16.8450361212, 104.819288599 16.9350372182);True;NULL
25000;LINESTRING(105.011435358 17.0250383152, 104.819288599 17.0250383152, 104.819288599 16.8450361212, 105.011435358 16.8450361212, 105.011435358 17.0250383152);True;NULL
25021;LINESTRING(104.242848322 17.565044897, 104.050701563 17.565044897, 104.050701563 17.385042703, 104.242848322 17.385042703, 104.242848322 17.565044897);True;Nakhon Phanom
25022;LINESTRING(104.050701563 17.565044897, 103.858554804 17.565044897, 103.858554804 17.385042703, 104.050701563 17.385042703, 104.050701563 17.565044897);True;Sakon Nakhon
25023;LINESTRING(104.050701563 17.385042703, 103.858554804 17.385042703, 103.858554804 17.2050405091, 104.050701563 17.2050405091, 104.050701563 17.385042703);True;Sakon Nakhon
25024;LINESTRING(104.242848322 17.385042703, 104.050701563 17.385042703, 104.050701563 17.2050405091, 104.242848322 17.2050405091, 104.242848322 17.385042703);True;Sakon Nakhon
25018;LINESTRING(103.858554804 17.565044897, 103.474261286 17.565044897, 103.474261286 17.2050405091, 103.858554804 17.2050405091, 103.858554804 17.565044897);True;Sakon Nakhon
25061;LINESTRING(103.858554804 17.2050405091, 103.666408045 17.2050405091, 103.666408045 17.0250383152, 103.858554804 17.0250383152, 103.858554804 17.2050405091);True;Sakon Nakhon
25069;LINESTRING(103.666408045 17.2050405091, 103.570334666 17.2050405091, 103.570334666 17.1150394121, 103.666408045 17.1150394121, 103.666408045 17.2050405091);True;Sakon Nakhon
25070;LINESTRING(103.570334666 17.2050405091, 103.474261286 17.2050405091, 103.474261286 17.1150394121, 103.570334666 17.1150394121, 103.570334666 17.2050405091);True;Udon Thani
25071;LINESTRING(103.570334666 17.1150394121, 103.474261286 17.1150394121, 103.474261286 17.0250383152, 103.570334666 17.0250383152, 103.570334666 17.1150394121);True;Udon Thani
25072;LINESTRING(103.666408045 17.1150394121, 103.570334666 17.1150394121, 103.570334666 17.0250383152, 103.666408045 17.0250383152, 103.666408045 17.1150394121);True;Kalasin
25063;LINESTRING(103.666408045 17.0250383152, 103.474261286 17.0250383152, 103.474261286 16.8450361212, 103.666408045 16.8450361212, 103.666408045 17.0250383152);True;Kalasin
25077;LINESTRING(103.858554804 17.0250383152, 103.762481424 17.0250383152, 103.762481424 16.9350372182, 103.858554804 16.9350372182, 103.858554804 17.0250383152);True;Sakon Nakhon
25078;LINESTRING(103.762481424 17.0250383152, 103.666408045 17.0250383152, 103.666408045 16.9350372182, 103.762481424 16.9350372182, 103.762481424 17.0250383152);True;Kalasin
25079;LINESTRING(103.762481424 16.9350372182, 103.666408045 16.9350372182, 103.666408045 16.8450361212, 103.762481424 16.8450361212, 103.762481424 16.9350372182);True;Kalasin
25080;LINESTRING(103.858554804 16.9350372182, 103.762481424 16.9350372182, 103.762481424 16.8450361212, 103.858554804 16.8450361212, 103.858554804 16.9350372182);True;Kalasin
25020;LINESTRING(104.242848322 17.2050405091, 103.858554804 17.2050405091, 103.858554804 16.8450361212, 104.242848322 16.8450361212, 104.242848322 17.2050405091);True;Sakon Nakhon
25109;LINESTRING(104.242848322 16.8450361212, 104.146774942 16.8450361212, 104.146774942 16.7550350242, 104.242848322 16.7550350242, 104.242848322 16.8450361212);True;Mukdahan
25110;LINESTRING(104.146774942 16.8450361212, 104.050701563 16.8450361212, 104.050701563 16.7550350242, 104.146774942 16.7550350242, 104.146774942 16.8450361212);True;Kalasin
25111;LINESTRING(104.146774942 16.7550350242, 104.050701563 16.7550350242, 104.050701563 16.6650339273, 104.146774942 16.6650339273, 104.146774942 16.7550350242);True;Kalasin
25112;LINESTRING(104.242848322 16.7550350242, 104.146774942 16.7550350242, 104.146774942 16.6650339273, 104.242848322 16.6650339273, 104.242848322 16.7550350242);True;Mukdahan
25113;LINESTRING(104.050701563 16.8450361212, 103.954628183 16.8450361212, 103.954628183 16.7550350242, 104.050701563 16.7550350242, 104.050701563 16.8450361212);True;Kalasin
25114;LINESTRING(103.954628183 16.8450361212, 103.858554804 16.8450361212, 103.858554804 16.7550350242, 103.954628183 16.7550350242, 103.954628183 16.8450361212);True;Sakon Nakhon
25115;LINESTRING(103.954628183 16.7550350242, 103.858554804 16.7550350242, 103.858554804 16.6650339273, 103.954628183 16.6650339273, 103.954628183 16.7550350242);True;Kalasin
25116;LINESTRING(104.050701563 16.7550350242, 103.954628183 16.7550350242, 103.954628183 16.6650339273, 104.050701563 16.6650339273, 104.050701563 16.7550350242);True;Kalasin
25107;LINESTRING(104.050701563 16.6650339273, 103.858554804 16.6650339273, 103.858554804 16.4850317333, 104.050701563 16.4850317333, 104.050701563 16.6650339273);True;Kalasin
25121;LINESTRING(104.242848322 16.6650339273, 104.146774942 16.6650339273, 104.146774942 16.5750328303, 104.242848322 16.5750328303, 104.242848322 16.6650339273);True;Mukdahan
25122;LINESTRING(104.146774942 16.6650339273, 104.050701563 16.6650339273, 104.050701563 16.5750328303, 104.146774942 16.5750328303, 104.146774942 16.6650339273);True;Kalasin
25123;LINESTRING(104.146774942 16.5750328303, 104.050701563 16.5750328303, 104.050701563 16.4850317333, 104.146774942 16.4850317333, 104.146774942 16.5750328303);True;Kalasin
25124;LINESTRING(104.242848322 16.5750328303, 104.146774942 16.5750328303, 104.146774942 16.4850317333, 104.242848322 16.4850317333, 104.242848322 16.5750328303);True;Kalasin
25102;LINESTRING(103.858554804 16.8450361212, 103.474261286 16.8450361212, 103.474261286 16.4850317333, 103.858554804 16.4850317333, 103.858554804 16.8450361212);True;Kalasin
25149;LINESTRING(103.858554804 16.4850317333, 103.762481424 16.4850317333, 103.762481424 16.3950306364, 103.858554804 16.3950306364, 103.858554804 16.4850317333);True;Roi Et
25150;LINESTRING(103.762481424 16.4850317333, 103.666408045 16.4850317333, 103.666408045 16.3950306364, 103.762481424 16.3950306364, 103.762481424 16.4850317333);True;Kalasin
25151;LINESTRING(103.762481424 16.3950306364, 103.666408045 16.3950306364, 103.666408045 16.3050295394, 103.762481424 16.3050295394, 103.762481424 16.3950306364);True;Kalasin
25152;LINESTRING(103.858554804 16.3950306364, 103.762481424 16.3950306364, 103.762481424 16.3050295394, 103.858554804 16.3050295394, 103.858554804 16.3950306364);True;Roi Et
25146;LINESTRING(103.666408045 16.4850317333, 103.474261286 16.4850317333, 103.474261286 16.3050295394, 103.666408045 16.3050295394, 103.666408045 16.4850317333);True;Kalasin
25157;LINESTRING(103.666408045 16.3050295394, 103.570334666 16.3050295394, 103.570334666 16.2150284424, 103.666408045 16.2150284424, 103.666408045 16.3050295394);True;Kalasin
25158;LINESTRING(103.570334666 16.3050295394, 103.474261286 16.3050295394, 103.474261286 16.2150284424, 103.570334666 16.2150284424, 103.570334666 16.3050295394);True;Kalasin
25159;LINESTRING(103.570334666 16.2150284424, 103.474261286 16.2150284424, 103.474261286 16.1250273455, 103.570334666 16.1250273455, 103.570334666 16.2150284424);True;Roi Et
25160;LINESTRING(103.666408045 16.2150284424, 103.570334666 16.2150284424, 103.570334666 16.1250273455, 103.666408045 16.1250273455, 103.666408045 16.2150284424);True;Roi Et
25161;LINESTRING(103.858554804 16.3050295394, 103.762481424 16.3050295394, 103.762481424 16.2150284424, 103.858554804 16.2150284424, 103.858554804 16.3050295394);True;Roi Et
25162;LINESTRING(103.762481424 16.3050295394, 103.666408045 16.3050295394, 103.666408045 16.2150284424, 103.762481424 16.2150284424, 103.762481424 16.3050295394);True;Kalasin
25163;LINESTRING(103.762481424 16.2150284424, 103.666408045 16.2150284424, 103.666408045 16.1250273455, 103.762481424 16.1250273455, 103.762481424 16.2150284424);True;Roi Et
25164;LINESTRING(103.858554804 16.2150284424, 103.762481424 16.2150284424, 103.762481424 16.1250273455, 103.858554804 16.1250273455, 103.858554804 16.2150284424);True;Roi Et
25169;LINESTRING(104.242848322 16.4850317333, 104.146774942 16.4850317333, 104.146774942 16.3950306364, 104.242848322 16.3950306364, 104.242848322 16.4850317333);True;Kalasin
25170;LINESTRING(104.146774942 16.4850317333, 104.050701563 16.4850317333, 104.050701563 16.3950306364, 104.146774942 16.3950306364, 104.146774942 16.4850317333);True;Kalasin
25171;LINESTRING(104.146774942 16.3950306364, 104.050701563 16.3950306364, 104.050701563 16.3050295394, 104.146774942 16.3050295394, 104.146774942 16.3950306364);True;Roi Et
25172;LINESTRING(104.242848322 16.3950306364, 104.146774942 16.3950306364, 104.146774942 16.3050295394, 104.242848322 16.3050295394, 104.242848322 16.3950306364);True;Roi Et
25166;LINESTRING(104.050701563 16.4850317333, 103.858554804 16.4850317333, 103.858554804 16.3050295394, 104.050701563 16.3050295394, 104.050701563 16.4850317333);True;Roi Et
25167;LINESTRING(104.050701563 16.3050295394, 103.858554804 16.3050295394, 103.858554804 16.1250273455, 104.050701563 16.1250273455, 104.050701563 16.3050295394);True;Roi Et
25168;LINESTRING(104.242848322 16.3050295394, 104.050701563 16.3050295394, 104.050701563 16.1250273455, 104.242848322 16.1250273455, 104.242848322 16.3050295394);True;Roi Et
25189;LINESTRING(105.011435358 16.8450361212, 104.819288599 16.8450361212, 104.819288599 16.6650339273, 105.011435358 16.6650339273, 105.011435358 16.8450361212);True;NULL
25197;LINESTRING(104.819288599 16.8450361212, 104.723215219 16.8450361212, 104.723215219 16.7550350242, 104.819288599 16.7550350242, 104.819288599 16.8450361212);True;NULL
25198;LINESTRING(104.723215219 16.8450361212, 104.62714184 16.8450361212, 104.62714184 16.7550350242, 104.723215219 16.7550350242, 104.723215219 16.8450361212);True;Nakhon Phanom
25199;LINESTRING(104.723215219 16.7550350242, 104.62714184 16.7550350242, 104.62714184 16.6650339273, 104.723215219 16.6650339273, 104.723215219 16.7550350242);True;Mukdahan
25200;LINESTRING(104.819288599 16.7550350242, 104.723215219 16.7550350242, 104.723215219 16.6650339273, 104.819288599 16.6650339273, 104.819288599 16.7550350242);True;NULL
25201;LINESTRING(104.819288599 16.6650339273, 104.723215219 16.6650339273, 104.723215219 16.5750328303, 104.819288599 16.5750328303, 104.819288599 16.6650339273);True;NULL
25202;LINESTRING(104.723215219 16.6650339273, 104.62714184 16.6650339273, 104.62714184 16.5750328303, 104.723215219 16.5750328303, 104.723215219 16.6650339273);True;Mukdahan
25203;LINESTRING(104.723215219 16.5750328303, 104.62714184 16.5750328303, 104.62714184 16.4850317333, 104.723215219 16.4850317333, 104.723215219 16.5750328303);True;Mukdahan
25204;LINESTRING(104.819288599 16.5750328303, 104.723215219 16.5750328303, 104.723215219 16.4850317333, 104.819288599 16.4850317333, 104.819288599 16.5750328303);True;NULL
25192;LINESTRING(105.011435358 16.6650339273, 104.819288599 16.6650339273, 104.819288599 16.4850317333, 105.011435358 16.4850317333, 105.011435358 16.6650339273);True;NULL
25186;LINESTRING(104.62714184 16.8450361212, 104.242848322 16.8450361212, 104.242848322 16.4850317333, 104.62714184 16.4850317333, 104.62714184 16.8450361212);True;Mukdahan
25229;LINESTRING(104.62714184 16.4850317333, 104.434995081 16.4850317333, 104.434995081 16.3050295394, 104.62714184 16.3050295394, 104.62714184 16.4850317333);True;Mukdahan
25237;LINESTRING(104.434995081 16.4850317333, 104.338921701 16.4850317333, 104.338921701 16.3950306364, 104.434995081 16.3950306364, 104.434995081 16.4850317333);True;Mukdahan
25238;LINESTRING(104.338921701 16.4850317333, 104.242848322 16.4850317333, 104.242848322 16.3950306364, 104.338921701 16.3950306364, 104.338921701 16.4850317333);True;Roi Et
